dict,dim_id,dim_name,options_available
WIL,1,Anusvāra before consonants,opt1|opt2|opt3|opt4|opt5|opt6
WIL,2,Duplication after r,opt1|opt2
WIL,3,Words ending with -at,opt1|opt2|opt3|opt4|opt5
WIL,4,Inflected vs uninflected headword form,inflected|uninflected
WIL,5,Anusvāra of verbs,present|absent
WIL,6,ṛkārānta words,opt1|opt2|opt3
WIL,7,vas/yas suffixes,opt1|opt2|opt3|opt4
WIL,8,Sandhi handling at compound boundary,preserved|split|both
WIL,15,Citation format style,abbreviated|full|sanskrit
WIL,16,Mahābhārata edition reference,pune|critical
WIL,18,Verb-class marker style,roman|arabic|sanskrit
WIL,19,Etymology presence,none|partial|full
WIL,20,Cross-reference syntax,explicit|k1|italic|absent
WIL,21,Loanword marker,tagged|untagged
WIL,23,Vedic-only marker,flagged|unflagged
YAT,1,Anusvāra before consonants,opt1|opt2|opt3|opt4|opt5|opt6
YAT,2,Duplication after r,opt1|opt2
YAT,3,Words ending with -at,opt1|opt2|opt3|opt4|opt5
YAT,4,Inflected vs uninflected headword form,inflected|uninflected
YAT,5,Anusvāra of verbs,present|absent
YAT,6,ṛkārānta words,opt1|opt2|opt3
YAT,7,vas/yas suffixes,opt1|opt2|opt3|opt4
YAT,8,Sandhi handling at compound boundary,preserved|split|both
YAT,15,Citation format style,abbreviated|full|sanskrit
YAT,16,Mahābhārata edition reference,pune|critical
YAT,18,Verb-class marker style,roman|arabic|sanskrit
YAT,19,Etymology presence,none|partial|full
YAT,20,Cross-reference syntax,explicit|k1|italic|absent
YAT,21,Loanword marker,tagged|untagged
YAT,23,Vedic-only marker,flagged|unflagged
GST,1,Anusvāra before consonants,opt1|opt2|opt3|opt4|opt5|opt6
GST,2,Duplication after r,opt1|opt2
GST,3,Words ending with -at,opt1|opt2|opt3|opt4|opt5
GST,4,Inflected vs uninflected headword form,inflected|uninflected
GST,5,Anusvāra of verbs,present|absent
GST,6,ṛkārānta words,opt1|opt2|opt3
GST,7,vas/yas suffixes,opt1|opt2|opt3|opt4
GST,8,Sandhi handling at compound boundary,preserved|split|both
GST,15,Citation format style,abbreviated|full|sanskrit
GST,16,Mahābhārata edition reference,pune|critical
GST,18,Verb-class marker style,roman|arabic|sanskrit
GST,19,Etymology presence,none|partial|full
GST,20,Cross-reference syntax,explicit|k1|italic|absent
GST,21,Loanword marker,tagged|untagged
GST,23,Vedic-only marker,flagged|unflagged
BEN,1,Anusvāra before consonants,opt1|opt2|opt3|opt4|opt5|opt6
BEN,2,Duplication after r,opt1|opt2
BEN,3,Words ending with -at,opt1|opt2|opt3|opt4|opt5
BEN,4,Inflected vs uninflected headword form,inflected|uninflected
BEN,5,Anusvāra of verbs,present|absent
BEN,6,ṛkārānta words,opt1|opt2|opt3
BEN,7,vas/yas suffixes,opt1|opt2|opt3|opt4
BEN,8,Sandhi handling at compound boundary,preserved|split|both
BEN,15,Citation format style,abbreviated|full|sanskrit
BEN,16,Mahābhārata edition reference,pune|critical
BEN,18,Verb-class marker style,roman|arabic|sanskrit
BEN,19,Etymology presence,none|partial|full
BEN,20,Cross-reference syntax,explicit|k1|italic|absent
BEN,21,Loanword marker,tagged|untagged
BEN,23,Vedic-only marker,flagged|unflagged
MW72,1,Anusvāra before consonants,opt1|opt2|opt3|opt4|opt5|opt6
MW72,2,Duplication after r,opt1|opt2
MW72,3,Words ending with -at,opt1|opt2|opt3|opt4|opt5
MW72,4,Inflected vs uninflected headword form,inflected|uninflected
MW72,5,Anusvāra of verbs,present|absent
MW72,6,ṛkārānta words,opt1|opt2|opt3
MW72,7,vas/yas suffixes,opt1|opt2|opt3|opt4
MW72,8,Sandhi handling at compound boundary,preserved|split|both
MW72,15,Citation format style,abbreviated|full|sanskrit
MW72,16,Mahābhārata edition reference,pune|critical
MW72,18,Verb-class marker style,roman|arabic|sanskrit
MW72,19,Etymology presence,none|partial|full
MW72,20,Cross-reference syntax,explicit|k1|italic|absent
MW72,21,Loanword marker,tagged|untagged
MW72,23,Vedic-only marker,flagged|unflagged
LRV,1,Anusvāra before consonants,opt1|opt2|opt3|opt4|opt5|opt6
LRV,2,Duplication after r,opt1|opt2
LRV,3,Words ending with -at,opt1|opt2|opt3|opt4|opt5
LRV,4,Inflected vs uninflected headword form,inflected|uninflected
LRV,5,Anusvāra of verbs,present|absent
LRV,6,ṛkārānta words,opt1|opt2|opt3
LRV,7,vas/yas suffixes,opt1|opt2|opt3|opt4
LRV,8,Sandhi handling at compound boundary,preserved|split|both
LRV,15,Citation format style,abbreviated|full|sanskrit
LRV,16,Mahābhārata edition reference,pune|critical
