,WIL,YAT,GST,BEN,MW72,LRV,AP90,CAE,MD,MW,SHS,AP,BOR,AE,BUR,STC,PWG,GRA,PW,CCS,SCH,BOP,VCP,SKD,INM,VEI,PUI,BHS,FRI,ACC,KRM,MCI
WIL,0.0000,0.5185,0.4000,0.5714,0.4615,0.5185,0.5714,0.5185,0.4000,0.7097,0.0952,0.5714,0.7500,0.6207,0.5185,0.6071,0.6207,0.7812,0.6207,0.4615,0.5556,0.4000,0.5556,0.6552,0.5000,0.7419,0.6552,0.7000,0.5000,0.5556,0.6071,0.5714
YAT,0.5185,0.0000,0.7500,0.7097,0.6667,0.4000,0.7097,0.6207,0.4000,0.7097,0.5185,0.8571,0.5185,0.4615,0.6667,0.1429,0.7500,0.6552,0.6207,0.5185,0.5000,0.7097,0.5000,0.6071,0.6071,0.7812,0.5000,0.8182,0.7812,0.3750,0.5556,0.5185
GST,0.4000,0.7500,0.0000,0.6667,0.6207,0.6667,0.6207,0.5714,0.5714,0.6667,0.4615,0.5185,0.6667,0.6667,0.6207,0.7419,0.4615,0.8182,0.5714,0.5714,0.6071,0.4615,0.6552,0.7000,0.4400,0.7000,0.5000,0.7000,0.5000,0.7000,0.5000,0.5185
BEN,0.5714,0.7097,0.6667,0.0000,0.3333,0.5185,0.6667,0.4615,0.4615,0.5185,0.5185,0.5714,0.7500,0.6207,0.2609,0.7000,0.6207,0.5556,0.6207,0.4615,0.6071,0.4000,0.7000,0.7419,0.5556,0.5556,0.7419,0.5000,0.5000,0.6552,0.6552,0.6667
MW72,0.4615,0.6667,0.6207,0.3333,0.0000,0.5714,0.6667,0.5714,0.4615,0.5185,0.5185,0.4615,0.7879,0.6667,0.2609,0.6552,0.6667,0.6071,0.6667,0.5185,0.6071,0.2609,0.7000,0.7419,0.5556,0.4400,0.7000,0.7000,0.5000,0.6071,0.6552,0.6207
LRV,0.5185,0.4000,0.6667,0.5185,0.5714,0.0000,0.5185,0.5185,0.4000,0.5714,0.5185,0.7500,0.5185,0.3333,0.5714,0.3750,0.6207,0.6552,0.5714,0.4000,0.4400,0.6207,0.6071,0.6552,0.5000,0.7812,0.6071,0.6071,0.7000,0.3043,0.5556,0.5185
AP90,0.5714,0.7097,0.6207,0.6667,0.6667,0.5185,0.0000,0.6667,0.6207,0.7879,0.5185,0.4615,0.7500,0.5185,0.7097,0.7000,0.7500,0.7812,0.7097,0.6667,0.7000,0.7097,0.7812,0.7419,0.7000,0.8182,0.8529,0.6071,0.7000,0.6552,0.7419,0.7879
CAE,0.5185,0.6207,0.5714,0.4615,0.5714,0.5185,0.6667,0.0000,0.3333,0.7097,0.4615,0.7097,0.6207,0.5714,0.4615,0.5556,0.4000,0.7419,0.4615,0.1818,0.5000,0.6207,0.4400,0.5000,0.3750,0.7000,0.5556,0.7000,0.5000,0.5556,0.4400,0.5714
MD,0.4000,0.4000,0.5714,0.4615,0.4615,0.4000,0.6207,0.3333,0.0000,0.7097,0.3333,0.7097,0.5714,0.4000,0.4000,0.3750,0.5714,0.6071,0.3333,0.3333,0.3043,0.5185,0.4400,0.5000,0.3043,0.5556,0.4400,0.7419,0.5556,0.3043,0.3750,0.4615
MW,0.7097,0.7097,0.6667,0.5185,0.5185,0.5714,0.7879,0.7097,0.7097,0.0000,0.7500,0.7500,0.7879,0.7500,0.5714,0.6552,0.5714,0.4400,0.5714,0.6667,0.6552,0.4615,0.8529,0.8857,0.5556,0.5556,0.7000,0.5556,0.6071,0.7419,0.7812,0.6667
SHS,0.0952,0.5185,0.4615,0.5185,0.5185,0.5185,0.5185,0.4615,0.3333,0.7500,0.0000,0.6207,0.7500,0.6207,0.4615,0.6071,0.6667,0.7419,0.5714,0.4615,0.5556,0.4615,0.5556,0.6552,0.4400,0.7000,0.6552,0.6552,0.4400,0.5556,0.6071,0.5714
AP,0.5714,0.8571,0.5185,0.5714,0.4615,0.7500,0.4615,0.7097,0.7097,0.7500,0.6207,0.0000,0.8571,0.7097,0.5714,0.8529,0.7097,0.8182,0.7879,0.7097,0.7419,0.5185,0.7812,0.7419,0.7812,0.7419,0.8182,0.7000,0.5556,0.8182,0.7419,0.8235
BOR,0.7500,0.5185,0.6667,0.7500,0.7879,0.5185,0.7500,0.6207,0.5714,0.7879,0.7500,0.8571,0.0000,0.5185,0.7500,0.5000,0.6667,0.6552,0.6667,0.5714,0.6552,0.7500,0.6552,0.7000,0.6552,0.7419,0.5000,0.6552,0.7812,0.5000,0.5000,0.5185
AE,0.6207,0.4615,0.6667,0.6207,0.6667,0.3333,0.5185,0.5714,0.4000,0.7500,0.6207,0.7097,0.5185,0.0000,0.6667,0.4400,0.6207,0.7000,0.5185,0.4615,0.3750,0.7097,0.5000,0.5556,0.6071,0.7812,0.6071,0.7419,0.7812,0.2273,0.4400,0.6207
BUR,0.5185,0.6667,0.6207,0.2609,0.2609,0.5714,0.7097,0.4615,0.4000,0.5714,0.4615,0.5714,0.7500,0.6667,0.0000,0.6552,0.6207,0.5556,0.6207,0.5185,0.6071,0.3333,0.6552,0.7000,0.5000,0.5000,0.6552,0.6552,0.3750,0.6071,0.6071,0.6207
STC,0.6071,0.1429,0.7419,0.7000,0.6552,0.3750,0.7000,0.5556,0.3750,0.6552,0.6071,0.8529,0.5000,0.4400,0.6552,0.0000,0.7000,0.5926,0.5556,0.4400,0.4167,0.7000,0.5385,0.5926,0.5385,0.7333,0.4167,0.7742,0.7333,0.3478,0.5385,0.5000
