,WIL,YAT,GST,BEN,MW72,LRV,AP90,CAE,MD,MW,SHS,AP,BOR,AE,BUR,STC,PWG,GRA,PW,CCS,SCH,BOP,VCP,SKD,INM,VEI,PUI,BHS,FRI,ACC,KRM,MCI
WIL,0.0000,0.3500,0.2500,0.4000,0.3000,0.3500,0.4000,0.3500,0.2500,0.5500,0.0500,0.4000,0.6000,0.4500,0.3500,0.4211,0.4500,0.6316,0.4500,0.3000,0.3684,0.2500,0.3684,0.4737,0.3158,0.5789,0.4737,0.5263,0.3158,0.3684,0.4211,0.4000
YAT,0.3500,0.0000,0.6000,0.5500,0.5000,0.2500,0.5500,0.4500,0.2500,0.5500,0.3500,0.7500,0.3500,0.3000,0.5000,0.0526,0.6000,0.4737,0.4500,0.3500,0.3158,0.5500,0.3158,0.4211,0.4211,0.6316,0.3158,0.6842,0.6316,0.2105,0.3684,0.3500
GST,0.2500,0.6000,0.0000,0.5000,0.4500,0.5000,0.4500,0.4000,0.4000,0.5000,0.3000,0.3500,0.5000,0.5000,0.4500,0.5789,0.3000,0.6842,0.4000,0.4000,0.4211,0.3000,0.4737,0.5263,0.2632,0.5263,0.3158,0.5263,0.3158,0.5263,0.3158,0.3500
BEN,0.4000,0.5500,0.5000,0.0000,0.2000,0.3500,0.5000,0.3000,0.3000,0.3500,0.3500,0.4000,0.6000,0.4500,0.1500,0.5263,0.4500,0.3684,0.4500,0.3000,0.4211,0.2500,0.5263,0.5789,0.3684,0.3684,0.5789,0.3158,0.3158,0.4737,0.4737,0.5000
MW72,0.3000,0.5000,0.4500,0.2000,0.0000,0.4000,0.5000,0.4000,0.3000,0.3500,0.3500,0.3000,0.6500,0.5000,0.1500,0.4737,0.5000,0.4211,0.5000,0.3500,0.4211,0.1500,0.5263,0.5789,0.3684,0.2632,0.5263,0.5263,0.3158,0.4211,0.4737,0.4500
LRV,0.3500,0.2500,0.5000,0.3500,0.4000,0.0000,0.3500,0.3500,0.2500,0.4000,0.3500,0.6000,0.3500,0.2000,0.4000,0.2105,0.4500,0.4737,0.4000,0.2500,0.2632,0.4500,0.4211,0.4737,0.3158,0.6316,0.4211,0.4211,0.5263,0.1579,0.3684,0.3500
AP90,0.4000,0.5500,0.4500,0.5000,0.5000,0.3500,0.0000,0.5000,0.4500,0.6500,0.3500,0.3000,0.6000,0.3500,0.5500,0.5263,0.6000,0.6316,0.5500,0.5000,0.5263,0.5500,0.6316,0.5789,0.5263,0.6842,0.7368,0.4211,0.5263,0.4737,0.5789,0.6500
CAE,0.3500,0.4500,0.4000,0.3000,0.4000,0.3500,0.5000,0.0000,0.2000,0.5500,0.3000,0.5500,0.4500,0.4000,0.3000,0.3684,0.2500,0.5789,0.3000,0.1000,0.3158,0.4500,0.2632,0.3158,0.2105,0.5263,0.3684,0.5263,0.3158,0.3684,0.2632,0.4000
MD,0.2500,0.2500,0.4000,0.3000,0.3000,0.2500,0.4500,0.2000,0.0000,0.5500,0.2000,0.5500,0.4000,0.2500,0.2500,0.2105,0.4000,0.4211,0.2000,0.2000,0.1579,0.3500,0.2632,0.3158,0.1579,0.3684,0.2632,0.5789,0.3684,0.1579,0.2105,0.3000
MW,0.5500,0.5500,0.5000,0.3500,0.3500,0.4000,0.6500,0.5500,0.5500,0.0000,0.6000,0.6000,0.6500,0.6000,0.4000,0.4737,0.4000,0.2632,0.4000,0.5000,0.4737,0.3000,0.7368,0.7895,0.3684,0.3684,0.5263,0.3684,0.4211,0.5789,0.6316,0.5000
SHS,0.0500,0.3500,0.3000,0.3500,0.3500,0.3500,0.3500,0.3000,0.2000,0.6000,0.0000,0.4500,0.6000,0.4500,0.3000,0.4211,0.5000,0.5789,0.4000,0.3000,0.3684,0.3000,0.3684,0.4737,0.2632,0.5263,0.4737,0.4737,0.2632,0.3684,0.4211,0.4000
AP,0.4000,0.7500,0.3500,0.4000,0.3000,0.6000,0.3000,0.5500,0.5500,0.6000,0.4500,0.0000,0.7500,0.5500,0.4000,0.7368,0.5500,0.6842,0.6500,0.5500,0.5789,0.3500,0.6316,0.5789,0.6316,0.5789,0.6842,0.5263,0.3684,0.6842,0.5789,0.7000
BOR,0.6000,0.3500,0.5000,0.6000,0.6500,0.3500,0.6000,0.4500,0.4000,0.6500,0.6000,0.7500,0.0000,0.3500,0.6000,0.3158,0.5000,0.4737,0.5000,0.4000,0.4737,0.6000,0.4737,0.5263,0.4737,0.5789,0.3158,0.4737,0.6316,0.3158,0.3158,0.3500
AE,0.4500,0.3000,0.5000,0.4500,0.5000,0.2000,0.3500,0.4000,0.2500,0.6000,0.4500,0.5500,0.3500,0.0000,0.5000,0.2632,0.4500,0.5263,0.3500,0.3000,0.2105,0.5500,0.3158,0.3684,0.4211,0.6316,0.4211,0.5789,0.6316,0.1053,0.2632,0.4500
BUR,0.3500,0.5000,0.4500,0.1500,0.1500,0.4000,0.5500,0.3000,0.2500,0.4000,0.3000,0.4000,0.6000,0.5000,0.0000,0.4737,0.4500,0.3684,0.4500,0.3500,0.4211,0.2000,0.4737,0.5263,0.3158,0.3158,0.4737,0.4737,0.2105,0.4211,0.4211,0.4500
STC,0.4211,0.0526,0.5789,0.5263,0.4737,0.2105,0.5263,0.3684,0.2105,0.4737,0.4211,0.7368,0.3158,0.2632,0.4737,0.0000,0.5263,0.4211,0.3684,0.2632,0.2632,0.5263,0.3684,0.4211,0.3684,0.5789,0.2632,0.6316,0.5789,0.1667,0.3333,0.3158
PWG,0.4500,0.6000,0.3000,0.4500,0.5000,0.4500,0.6000,0.2500,0.4000,0.4000,0.5000,0.5500,0.5000,0.4500,0.4500,0.5263,0.0000,0.6316,0.2000,0.2500,0.2632,0.4500,0.4737,0.5263,0.2105,0.5263,0.3158,0.5789,0.4737,0.5263,0.3684,0.3500
GRA,0.6316,0.4737,0.6842,0.3684,0.4211,0.4737,0.6316,0.5789,0.4211,0.2632,0.5789,0.6842,0.4737,0.5263,0.3684,0.4211,0.6316,0.0000,0.4211,0.5789,0.5263,0.3684,0.6842,0.7368,0.4737,0.2632,0.5789,0.3158,0.4211,0.5000,0.5556,0.5263
PW,0.4500,0.4500,0.4000,0.4500,0.5000,0.4000,0.5500,0.3000,0.2000,0.4000,0.4000,0.6500,0.5000,0.3500,0.4500,0.3684,0.2000,0.4211,0.0000,0.3000,0.1053,0.4500,0.4211,0.4737,0.1053,0.3158,0.2105,0.5789,0.4211,0.3684,0.3158,0.3000
CCS,0.3000,0.3500,0.4000,0.3000,0.3500,0.2500,0.5000,0.1000,0.2000,0.5000,0.3000,0.5500,0.4000,0.3000,0.3500,0.2632,0.2500,0.5789,0.3000,0.0000,0.2105,0.4000,0.2632,0.3158,0.2105,0.5263,0.3158,0.5263,0.4211,0.2632,0.2632,0.3000
SCH,0.3684,0.3158,0.4211,0.4211,0.4211,0.2632,0.5263,0.3158,0.1579,0.4737,0.3684,0.5789,0.4737,0.2105,0.4211,0.2632,0.2632,0.5263,0.1053,0.2105,0.0000,0.4737,0.3158,0.3684,0.2105,0.4211,0.2105,0.6842,0.5263,0.2222,0.2778,0.2632
BOP,0.2500,0.5500,0.3000,0.2500,0.1500,0.4500,0.5500,0.4500,0.3500,0.3000,0.3000,0.3500,0.6000,0.5500,0.2000,0.5263,0.4500,0.3684,0.4500,0.4000,0.4737,0.0000,0.5789,0.6316,0.3158,0.3158,0.4737,0.3684,0.1579,0.4737,0.4211,0.4000
VCP,0.3684,0.3158,0.4737,0.5263,0.5263,0.4211,0.6316,0.2632,0.2632,0.7368,0.3684,0.6316,0.4737,0.3158,0.4737,0.3684,0.4737,0.6842,0.4211,0.2632,0.3158,0.5789,0.0000,0.1053,0.4211,0.6316,0.3684,0.7895,0.5263,0.2778,0.1111,0.4737
SKD,0.4737,0.4211,0.5263,0.5789,0.5789,0.4737,0.5789,0.3158,0.3158,0.7895,0.4737,0.5789,0.5263,0.3684,0.5263,0.4211,0.5263,0.7368,0.4737,0.3158,0.3684,0.6316,0.1053,0.0000,0.4737,0.6842,0.4211,0.8421,0.5789,0.3333,0.1667,0.5263
INM,0.3158,0.4211,0.2632,0.3684,0.3684,0.3158,0.5263,0.2105,0.1579,0.3684,0.2632,0.6316,0.4737,0.4211,0.3158,0.3684,0.2105,0.4737,0.1053,0.2105,0.2105,0.3158,0.4211,0.4737,0.0000,0.3158,0.2105,0.5263,0.3158,0.3333,0.2778,0.1579
VEI,0.5789,0.6316,0.5263,0.3684,0.2632,0.6316,0.6842,0.5263,0.3684,0.3684,0.5263,0.5789,0.5789,0.6316,0.3158,0.5789,0.5263,0.2632,0.3158,0.5263,0.4211,0.3158,0.6316,0.6842,0.3158,0.0000,0.4211,0.4737,0.3684,0.5556,0.5000,0.3684
PUI,0.4737,0.3158,0.3158,0.5789,0.5263,0.4211,0.7368,0.3684,0.2632,0.5263,0.4737,0.6842,0.3158,0.4211,0.4737,0.2632,0.3158,0.5789,0.2105,0.3158,0.2105,0.4737,0.3684,0.4211,0.2105,0.4211,0.0000,0.7368,0.4737,0.3333,0.2222,0.1579
BHS,0.5263,0.6842,0.5263,0.3158,0.5263,0.4211,0.4211,0.5263,0.5789,0.3684,0.4737,0.5263,0.4737,0.5789,0.4737,0.6316,0.5789,0.3158,0.5789,0.5263,0.6842,0.3684,0.7895,0.8421,0.5263,0.4737,0.7368,0.0000,0.3158,0.6111,0.6667,0.5789
FRI,0.3158,0.6316,0.3158,0.3158,0.3158,0.5263,0.5263,0.3158,0.3684,0.4211,0.2632,0.3684,0.6316,0.6316,0.2105,0.5789,0.4737,0.4211,0.4211,0.4211,0.5263,0.1579,0.5263,0.5789,0.3158,0.3684,0.4737,0.3158,0.0000,0.5556,0.3889,0.4737
ACC,0.3684,0.2105,0.5263,0.4737,0.4211,0.1579,0.4737,0.3684,0.1579,0.5789,0.3684,0.6842,0.3158,0.1053,0.4211,0.1667,0.5263,0.5000,0.3684,0.2632,0.2222,0.4737,0.2778,0.3333,0.3333,0.5556,0.3333,0.6111,0.5556,0.0000,0.2632,0.3684
