dict_a,dict_b,n_exclusive_lemmas,examples
MW,PW,17007,akzaDurA akzaprapAtana agnihotrezwi ajamI|a awawyA
ACC,MW,8631,agAravinoda agnirahasyakARqa aNkasaMjYA aNgasPuraRavicAra aNgiraHsmfti
AP,SKD,8549,aMSuDaraH aMSulaH aMSuhastaH aMsakUwaH aMhaH
PW,PWG,3767,aMSay aMsay akapIvant akziyant aKanant
AP,AP90,3458,aMhasaspatiH akAmataH akIrtiH akutaH akzaraSaH
MW,MW72,2572,aktos aNkAra atinud atyukz atyuh
AP,MW,1860,akAraRe agocareRa atikfcCram atiSayanI anuvAkasaNKyA
AP90,SKD,1698,aMSukaM akaM akupyaM aktuH agAraM
AP90,LRV,818,aMkurita aMkolikA aMkya aMg aMga
LRV,MW,795,akarmikA aKyAtikara anityadattrima anizwagraha anukA
MW,STC,757,atiniHSvas atiprapad atipravA atipraSaMs ativirAj
CAE,MW,735,antarniKAta antarvftti antastapta apatyasneha apamlukta
MW,PWG,721,akalkala atimarSa atizkadvan anaparAdDam aparAntikA
PD,PW,594,akaRWatAlvozWa akarmaDAraya akARqatikta akAraRatas akAraRapUrvaka
MW,PD,565,aMSIkf aMhana akabara akabbara akartftva
BHS,PD,538,aMSika aMsaDAtrI akaRa akatigATA akanizWika
ACC,PW,500,agnizwomahOtra adButagItA adButaviveka advEtakOstuBa advEtadarpaRa
GRA,PW,499,aMsia agastia agohia aGnia aNgia
PW,PWKVN,441,aNkAy aNkur acakruvftta acaladakza atinamAmi
WIL,YAT,413,anirvvAha apakAragIr ayugArcciz arkAhU arTavEkalpa
MW,SKD,403,amftasamBavA amBaH avAN aSvaKurI asfk
PD,SCH,379,aMsasTala aMhohi akaRwakin akaRqita akaTana
CAE,CCS,340,atidIrGakopanatA adaRqayant anAmayapraSna anicCApUraka aniyatavelam
MW,VCP,332,akanizWapa apUpAdi aBidrA ayasmayAdi ayman
MD,MW,326,agADaruDira aNgavAkpARimat adarSanIBU aprakASat aByamitrIRatA
AP,PUI,324,agamyAgamanam agnipraskandanam agnihotram agryam aNgulIyam
AP,LRV,305,anArtavA animittanirAkriyA aparAk apArA aBiDAyikA
SHS,WIL,289,aMSayat akzamatva agnirakzita agrahaRIya aNkayitavya
BHS,MW,289,agreRa anugantI antarvartinI apapa apraRihita
SKD,VCP,251,akzadya anAgatArttavA anca anja amlapatrI
MW72,PWG,226,aDitya apalup aBicaritu aBijanitu aBinivarta
LRV,VCP,220,acalakanyA acyutAtmaja aDamArdDa anvarTA apAMyoni
MW,SCH,207,aBinnARqa aByAhitAgni ayaTAtaTA arDanAkula avacCAdana
GRA,MW,202,acodat apAvfkta aBiSnaT aBIpa ayatat
BEN,MW,198,amartyatva ambujasTa aSiSiratA azwA AcCAdakatva
INM,MW,186,aGaRwa amitASanA ayoDyADipati AtmanirAloka AraReyaparvan
AP,PD,172,akaTanIya akalyaSarIra akiMcanam akfcCram akftaDI
SCH,STC,159,aNkAyate atiniHSabda atyutkampin adButAyate anAmfSant
GST,PD,153,aMsavat akeSaBArya agnidevatya agnIzomya agnyAhiti
MW,PUI,145,ayonisamBava AhukI ugrasenI udAyu uragAriketana
PWG,VCP,144,agnivindu acCinnapatra anugaNga anemA apavAruka
AP,VCP,137,ataptatanu aDiyajYaH aDrigU antaHpadavI antaraSAyin
MW,YAT,130,atfptadfS adUrAt aDirUQasamADiyoga anDIkftAtman aparimitaguRagaRa
CAE,PW,129,aMhIyaMs aKKalI atyaSnant adyA anaDIyant
