dict,dim_id,dim_name,options_available,source_available,exemplar_1,exemplar_2,exemplar_3,annotator_value,annotator_label_if_new,annotator_confidence,annotator_notes
WIL,1,Anusvāra before consonants,opt1|opt2|opt3|opt4|opt5|opt6,yes,aMSa,aMSa,aMSaka,,,,
WIL,2,Duplication after r,opt1|opt2,yes,aMSuBartf,akarkkaSa,akarRa,,,,
WIL,3,Words ending with -at,opt1|opt2|opt3|opt4|opt5,yes,aMSayat,aMSumat,akzavat,,,,
WIL,4,Inflected vs uninflected headword form,inflected|uninflected,yes,a,a,a,,,,
WIL,5,Anusvāra of verbs,present|absent,yes,aMSa :: {#aMSa#}¦ r. 10th cl. ({#aMSayati#}) To separate or divide. See {#aMsa#}.,aMsa :: {#aMsa#}¦ r. 10th cl. ({#aMsayati#}) To separate of divide; also written {#aMSa#}.,,,,,
WIL,6,ṛkārānta words,opt1|opt2|opt3,yes,aMSayitf,aMSuBartf,acalaBrAtf,,,,
WIL,7,vas/yas suffixes,opt1|opt2|opt3|opt4,yes,aRIyas,anASvas,ayas,,,,
WIL,8,Sandhi handling at compound boundary,preserved|split|both,yes,,,,,,,
WIL,16,Mahābhārata edition reference,pune|critical,yes,,,,,,,
YAT,1,Anusvāra before consonants,opt1|opt2|opt3|opt4|opt5|opt6,yes,aMSa,aMSa,aMSaka,,,,
YAT,2,Duplication after r,opt1|opt2,yes,aMSuBarttf,akarkkaSa,akarRa,,,,
YAT,3,Words ending with -at,opt1|opt2|opt3|opt4|opt5,yes,aMSumat,akzavat,agnimat,,,,
YAT,4,Inflected vs uninflected headword form,inflected|uninflected,yes,a,a,aMSa,,,,
YAT,5,Anusvāra of verbs,present|absent,yes,,,,,,,
YAT,6,ṛkārānta words,opt1|opt2|opt3,yes,aMSayitf,aMSuBarttf,acalaBrAtf,,,,
YAT,7,vas/yas suffixes,opt1|opt2|opt3|opt4,yes,aRIyas,anASvas,ayas,,,,
YAT,8,Sandhi handling at compound boundary,preserved|split|both,yes,aMSa-BAj,aMSu-jAla,aMSu-Dara,,,,
YAT,16,Mahābhārata edition reference,pune|critical,yes,,,,,,,
GST,1,Anusvāra before consonants,opt1|opt2|opt3|opt4|opt5|opt6,yes,aMS,aMSa,aMSaka,,,,
GST,2,Duplication after r,opt1|opt2,yes,aMSasavarRana,aMSuBartf,akarkaSa,,,,
GST,3,Words ending with -at,opt1|opt2|opt3|opt4|opt5,yes,aMSavat,aMSumat,aMsavat,,,,
GST,4,Inflected vs uninflected headword form,inflected|uninflected,yes,a,afRin,aMS,,,,
GST,5,Anusvāra of verbs,present|absent,yes,aMS :: {#aMS (aMSa-curAdi-parasmEpadin)#}¦ r. 10th cl. par. ({#aMSayati#} or {#aMSApayati-#} p. p,aMs :: {#aMs (aMsa-curAdi-parasmEpadin)#}¦ r. 10th cl. par. ({#aMsayati#} or {#aMsA-#} {#payati-#,aMh :: {#aMh#}¦ I. ({#ahi-BvAdi-udAtta-anudAttet#}) r. 1st cl. ātm. ({#aMhate-#} {#AnaMhe-aMhitA-,,,,
GST,6,ṛkārānta words,opt1|opt2|opt3,yes,aMSuBartf,agnihotf,aNgIkf,,,,
GST,7,vas/yas suffixes,opt1|opt2|opt3|opt4,yes,aRIyas,atavyas,atravas,,,,
GST,8,Sandhi handling at compound boundary,preserved|split|both,yes,aMS (aMSa-curAdi-parasmEpadin),aMs (aMsa-curAdi-parasmEpadin),ak (aka-BvAdi-GawAdi-udAtta-udAttet-mit),,,,
GST,16,Mahābhārata edition reference,pune|critical,yes,"ho lived, accord. to the Mahābh., in the Kṛta-yuga. E. {#kamp#}, w","inda; ac- cording to the Mahābhārata, one of the Kaikeyas slain by",#}; the 13th book of the Mahābh. is called the book of precepts {#,,,,
BEN,1,Anusvāra before consonants,opt1|opt2|opt3|opt4|opt5|opt6,yes,aMS,aMSa,aMSu,,,,
BEN,2,Duplication after r,opt1|opt2,yes,akarRaka,agrya,ajarya,,,,
BEN,3,Words ending with -at,opt1|opt2|opt3|opt4|opt5,yes,at,aBItavat,arTavat,,,,
BEN,4,Inflected vs uninflected headword form,inflected|uninflected,yes,a,aMS,aMSa,,,,
BEN,5,Anusvāra of verbs,present|absent,yes,"kaMs :: {#† kaMs#}¦ {%KAṂS%} (or {#kaS#} {%KAŚ,%} or {#kas#} {%KAS%}), ii. 2, <ab>Ātm.</ab> {@1.@}","knaMs :: {#† knaMs#}¦ {%KNAṂS,%} i. 1, and 10, <ab>Par.</ab> To speak or to shine (? <ab>v. r.</ab>",,,,,
BEN,6,ṛkārānta words,opt1|opt2|opt3,yes,attf,aDigoptf,aDizWAtf,,,,
BEN,7,vas/yas suffixes,opt1|opt2|opt3|opt4,yes,ayas,avas,kftvas,,,,
BEN,8,Sandhi handling at compound boundary,preserved|split|both,yes,,,,,,,
BEN,16,Mahābhārata edition reference,pune|critical,yes,"14. {@4.@} Wavering, <ls>MBh.</ls> 14, 34. {@II.@} <ab>f.</ab>","dj.</ab> Impervious, <ls>MBh.</ls> 12, 3078.","b> Incomprehensible, <ls>MBh.</ls> 12, 1024.",,,,
MW72,1,Anusvāra before consonants,opt1|opt2|opt3|opt4|opt5|opt6,yes,aMS,aMSa,aMSaka,,,,
MW72,2,Duplication after r,opt1|opt2,yes,akarkaSa,akarRa,akarRya,,,,
MW72,3,Words ending with -at,opt1|opt2|opt3|opt4|opt5,yes,akapIvat,akrIqat,akzaRvat,,,,
MW72,4,Inflected vs uninflected headword form,inflected|uninflected,yes,a,a,a,,,,
MW72,5,Anusvāra of verbs,present|absent,yes,"aMS :: {#aMS#}¦ {%aṃś,%} cl. 10. P. {%aṃśayati, -yitum,%} to divide, distribute; also occasionall","aMs :: {#aMs#}¦ {%aṃs,%} cl. 10. P. {%aṃsayati,%} &c., = {%aṃś.%}","aMh :: {#aMh#}¦ {%aṃh%} (allied to {%aṅgh%}), cl. 1. A. {%aṃhate,%} {%hitum,%} to go, set out, co",,,,
MW72,6,ṛkārānta words,opt1|opt2|opt3,yes,aMSayitf,akartf,aNgIkf,,,,
MW72,7,vas/yas suffixes,opt1|opt2|opt3|opt4,yes,agastayas,acikitvas,ajaGnivas,,,,
MW72,8,Sandhi handling at compound boundary,preserved|split|both,yes,,,,,,,
MW72,16,Mahābhārata edition reference,pune|critical,yes,,,,,,,
LRV,1,Anusvāra before consonants,opt1|opt2|opt3|opt4|opt5|opt6,yes,aMS,aMSa,aMSAMSi,,,,
LRV,2,Duplication after r,opt1|opt2,yes,aMSuBartf,akarRa,akarman,,,,
LRV,3,Words ending with -at,opt1|opt2|opt3|opt4|opt5,yes,aMSumat,aMhasvat,ajahat,,,,
LRV,4,Inflected vs uninflected headword form,inflected|uninflected,yes,a,a,a,,,,
LRV,5,Anusvāra of verbs,present|absent,yes,,,,,,,
LRV,6,ṛkārānta words,opt1|opt2|opt3,yes,aMSuBartf,agnidAtf,aDogaMtf,,,,
LRV,7,vas/yas suffixes,opt1|opt2|opt3|opt4,yes,ativayas,anukanIyas,aprAptavayas,,,,
LRV,8,Sandhi handling at compound boundary,preserved|split|both,yes,aMSa-karaRa,aMSa-BAj,aMSa-hara,,,,
LRV,16,Mahābhārata edition reference,pune|critical,yes,,,,,,,
AP90,1,Anusvāra before consonants,opt1|opt2|opt3|opt4|opt5|opt6,yes,aMS,aMSaH,aMSakaH,,,,
AP90,2,Duplication after r,opt1|opt2,yes,akarRa,akarRya,akartana,,,,
AP90,3,Words ending with -at,opt1|opt2|opt3|opt4|opt5,yes,aMSumat,aMhasvat,akzaRvat,,,,
AP90,4,Inflected vs uninflected headword form,inflected|uninflected,yes,a,afRin,aMS,,,,
AP90,5,Anusvāra of verbs,present|absent,yes,,,,,,,
AP90,6,ṛkārānta words,opt1|opt2|opt3,yes,aMSayitf,akartf,aMgIkf,,,,
AP90,7,vas/yas suffixes,opt1|opt2|opt3|opt4,yes,acikitvas,ajavas,aRIyas,,,,
AP90,8,Sandhi handling at compound boundary,preserved|split|both,yes,akalkana --ka,akava --vA,akzIva--(ba),,,,
AP90,16,Mahābhārata edition reference,pune|critical,yes,ill known as Āgneyī. The Mahābhārata represents Agni as having exh,"#cetanAvapaducAraH#} <ls>Mbh.</ls> {@--2@} Not conscious, insen","""P."">IV. 1. 151</ls> <ls>Mbh.</ls>",,,,
CAE,1,Anusvāra before consonants,opt1|opt2|opt3|opt4|opt5|opt6,yes,aMSa,aMSakalpanA,aMSaprakalpanA,,,,
CAE,2,Duplication after r,opt1|opt2,yes,aMsavartin,akarRa,akartavya,,,,
CAE,3,Words ending with -at,opt1|opt2|opt3|opt4|opt5,yes,akzipat,at,adadat,,,,
CAE,4,Inflected vs uninflected headword form,inflected|uninflected,yes,a,a,aMSa,,,,
CAE,5,Anusvāra of verbs,present|absent,yes,,,,,,,
CAE,6,ṛkārānta words,opt1|opt2|opt3,yes,akartf,aGaviGAtakartf,aNgIkf,,,,
CAE,7,vas/yas suffixes,opt1|opt2|opt3|opt4,yes,advayas,anASvas,aBizwiSavas,,,,
CAE,8,Sandhi handling at compound boundary,preserved|split|both,yes,,,,,,,
CAE,16,Mahābhārata edition reference,pune|critical,yes,,,,,,,
MD,1,Anusvāra before consonants,opt1|opt2|opt3|opt4|opt5|opt6,yes,aMSa,aMSakalpanA,aMSaprakalpanA,,,,
MD,2,Duplication after r,opt1|opt2,yes,aMsavartin,akarRa,akarRaDAra,,,,
MD,3,Words ending with -at,opt1|opt2|opt3|opt4|opt5,yes,aMSumat,akzaRvat,akzat,,,,
MD,4,Inflected vs uninflected headword form,inflected|uninflected,yes,a,a,aMSa,,,,
MD,5,Anusvāra of verbs,present|absent,yes,,,,,,,
MD,6,ṛkārānta words,opt1|opt2|opt3,yes,akartf,agnisAtkf,aGaviGAtakartf,,,,
MD,7,vas/yas suffixes,opt1|opt2|opt3|opt4,yes,acaramavayas,aRIyas,atigarIyas,,,,
MD,8,Sandhi handling at compound boundary,preserved|split|both,yes,,,,,,,
MD,16,Mahābhārata edition reference,pune|critical,yes,,,,,,,
MW,1,Anusvāra before consonants,opt1|opt2|opt3|opt4|opt5|opt6,yes,aMS,aMSa,aMSa,,,,
MW,2,Duplication after r,opt1|opt2,yes,aMSasavarRana,aMSuBartf,aMSuvimarda,,,,
MW,3,Words ending with -at,opt1|opt2|opt3|opt4|opt5,yes,aMSavat,aMSumat,aMSumat,,,,
MW,4,Inflected vs uninflected headword form,inflected|uninflected,yes,a,a,akAra,,,,
MW,5,Anusvāra of verbs,present|absent,yes,"aMS :: <s>aMS</s> ¦ <ab>cl.</ab> 10. <ab>P.</ab> <s>aMSayati</s>, to divide, distribute, <ls>L.</",aMh :: <hom>1.</hom> <s>aMh</s> ¦ (<ab>cf.</ab> √ <s>aNG</s>) <ab>cl.</ab> 1. <ab>Ā.</ab> <s>aMha,,,,,
MW,6,ṛkārānta words,opt1|opt2|opt3,yes,aMSIkf,aMSuBartf,akartf,,,,
MW,7,vas/yas suffixes,opt1|opt2|opt3|opt4,yes,acakfvas,acikitvas,ajApayas,,,,
MW,8,Sandhi handling at compound boundary,preserved|split|both,yes,a—kAra,a-fRin,aMSa—karaRa,,,,
MW,16,Mahābhārata edition reference,pune|critical,yes,"he first book of the <ls>MBh.</ls><info lex=""inh""/>","ex> not to be heard, <ls>MBh.</ls><info n=""sup""/><info lex=""m:f",".</lex> immediately, <ls>MBh.</ls><info lex=""ind""/>",,,,
SHS,1,Anusvāra before consonants,opt1|opt2|opt3|opt4|opt5|opt6,yes,aMSa,aMSa,aMSaka,,,,
SHS,2,Duplication after r,opt1|opt2,yes,aMSuBartf,akarkkaSa,akarRa,,,,
SHS,3,Words ending with -at,opt1|opt2|opt3|opt4|opt5,yes,aMSayat,aMSumat,akzavat,,,,
SHS,4,Inflected vs uninflected headword form,inflected|uninflected,yes,a,a,a,,,,
SHS,5,Anusvāra of verbs,present|absent,yes,aMSa :: {#aMSa#}¦ r. 10th cl. ({#aMSayati#}) To separate or divide. See {#aMsa#}.,aMsa :: {#aMsa#}¦ r. 10th cl. ({#-aMsayati#}) To separate or divide; also written {#aMSa#}.,,,,,
SHS,6,ṛkārānta words,opt1|opt2|opt3,yes,aMSayitf,aMSuBartf,acalaBrAtf,,,,
SHS,7,vas/yas suffixes,opt1|opt2|opt3|opt4,yes,aRIyas,anASvas,ayas,,,,
SHS,8,Sandhi handling at compound boundary,preserved|split|both,yes,aNga (-kata),aNgaja (-jaH),aTarvvan (-rvvA),,,,
SHS,16,Mahābhārata edition reference,pune|critical,yes,,,,,,,
AP,1,Anusvāra before consonants,opt1|opt2|opt3|opt4|opt5|opt6,yes,aMS,aMSaH,aMSAMSaH,,,,
