,WIL,YAT,GST,BEN,MW72,LRV,AP90,CAE,MD,MW,SHS,AP,BOR,AE,BUR,STC,PWG,GRA,PW,CCS,SCH,BOP,VCP,SKD,INM,VEI,PUI,BHS,FRI,ACC,KRM,MCI
WIL,0.0000,0.6296,0.6429,0.4583,0.3182,0.5769,0.5385,0.6296,0.3913,0.6429,0.4583,0.4167,0.7667,0.7241,0.3913,0.6154,0.6429,0.7143,0.6296,0.4583,0.5600,0.3182,0.7143,0.7143,0.5000,0.6296,0.6667,0.6154,0.3636,0.7143,0.7143,0.5769
YAT,0.6296,0.0000,0.7667,0.6667,0.6154,0.3636,0.7241,0.6667,0.4348,0.6786,0.5600,0.7667,0.5000,0.6154,0.5000,0.1579,0.7667,0.6000,0.6667,0.5600,0.5417,0.6667,0.6000,0.6000,0.6538,0.7586,0.4783,0.7931,0.6538,0.5417,0.6000,0.5600
GST,0.6429,0.7667,0.0000,0.6786,0.6296,0.7241,0.7742,0.5200,0.6296,0.6429,0.4583,0.5926,0.7241,0.6296,0.6296,0.8000,0.4800,0.8387,0.6296,0.6296,0.6667,0.6296,0.5600,0.5600,0.5000,0.6786,0.5600,0.8387,0.6667,0.6154,0.4348,0.5769
BEN,0.4583,0.6667,0.6786,0.0000,0.3636,0.5000,0.5769,0.5000,0.3636,0.5769,0.5000,0.5769,0.7143,0.6667,0.2857,0.6538,0.5769,0.6000,0.5600,0.3636,0.5417,0.3636,0.7037,0.7037,0.4783,0.6667,0.7037,0.5417,0.5417,0.7500,0.7037,0.6154
MW72,0.3182,0.6154,0.6296,0.3636,0.0000,0.5600,0.5769,0.6154,0.3636,0.5769,0.4348,0.4583,0.7586,0.7143,0.2857,0.6000,0.6296,0.6538,0.6154,0.4348,0.5417,0.3636,0.7037,0.7037,0.4783,0.4348,0.6538,0.7500,0.5417,0.7037,0.7037,0.5600
LRV,0.5769,0.3636,0.7241,0.5000,0.5600,0.0000,0.5769,0.6154,0.5000,0.5769,0.5000,0.6786,0.5600,0.5600,0.4348,0.4783,0.6786,0.6538,0.6667,0.5000,0.5417,0.6154,0.6538,0.6538,0.6000,0.8000,0.6538,0.6000,0.6000,0.5417,0.6538,0.6154
AP90,0.5385,0.7241,0.7742,0.5769,0.5769,0.5769,0.0000,0.7667,0.6296,0.6897,0.7241,0.3478,0.7667,0.6296,0.6296,0.7143,0.7333,0.7143,0.7241,0.6786,0.7143,0.5769,0.8387,0.8387,0.7143,0.8065,0.8750,0.5000,0.6154,0.8000,0.8387,0.8065
CAE,0.6296,0.6667,0.5200,0.5000,0.6154,0.6154,0.7667,0.0000,0.5000,0.7667,0.3636,0.7241,0.7586,0.6154,0.4348,0.7037,0.5769,0.7931,0.6154,0.3636,0.6538,0.6154,0.4091,0.4091,0.5417,0.8000,0.7037,0.7500,0.5417,0.6000,0.4783,0.7143
MD,0.3913,0.4348,0.6296,0.3636,0.3636,0.5000,0.6296,0.5000,0.0000,0.6786,0.3636,0.6296,0.6154,0.5600,0.2857,0.4091,0.6296,0.5417,0.3636,0.3636,0.3333,0.3636,0.5417,0.5417,0.3333,0.5600,0.4783,0.7037,0.4783,0.5417,0.5417,0.5000
MW,0.6429,0.6786,0.6429,0.5769,0.5769,0.5769,0.6897,0.7667,0.6786,0.0000,0.7241,0.7333,0.7667,0.8065,0.6296,0.6154,0.4800,0.5000,0.5200,0.6296,0.6154,0.5769,0.8750,0.8750,0.5000,0.5769,0.6667,0.6154,0.6667,0.8387,0.8387,0.6296
