repo,login,contributions,type
ACC,gasyoun,24,User
ACC,drdhaval2785,2,User
ACC,dependabot[bot],1,Bot
AMAR,gasyoun,17,User
AMAR,drdhaval2785,5,User
AMAR,dependabot[bot],3,Bot
AP,drdhaval2785,82,User
AP,funderburkjim,49,User
AP,gasyoun,34,User
AP,dependabot[bot],7,Bot
AP90,funderburkjim,38,User
AP90,gasyoun,31,User
AP90,Andhrabharati,6,User
AP90,dependabot[bot],6,Bot
ApteES,gasyoun,43,User
ApteES,funderburkjim,21,User
ApteES,dependabot[bot],5,Bot
ArabicInSanskrit,gasyoun,8,User
ArabicInSanskrit,funderburkjim,3,User
ArabicInSanskrit,dependabot[bot],1,Bot
BEN,drdhaval2785,109,User
BEN,gasyoun,34,User
BEN,funderburkjim,20,User
BEN,AnnaRybakovaT,1,User
BEN,dependabot[bot],1,Bot
BHS,gasyoun,39,User
BHS,funderburkjim,22,User
BHS,drdhaval2785,3,User
BHS,dependabot[bot],1,Bot
BOP,gasyoun,37,User
BOP,funderburkjim,13,User
BOP,drdhaval2785,9,User
BOP,dependabot[bot],3,Bot
BOP,AnnaRybakovaT,2,User
BOR,gasyoun,30,User
BOR,drdhaval2785,12,User
BOR,dependabot[bot],1,Bot
BUR,gasyoun,29,User
BUR,funderburkjim,19,User
BUR,AnnaRybakovaT,3,User
BUR,dependabot[bot],1,Bot
CAE,gasyoun,34,User
CAE,funderburkjim,11,User
CAE,AnnaRybakovaT,7,User
CAE,dependabot[bot],1,Bot
CAE,sanskritisampada,1,User
CCS,gasyoun,31,User
CCS,funderburkjim,3,User
CCS,dependabot[bot],1,Bot
COLOGNE,drdhaval2785,108,User
COLOGNE,funderburkjim,70,User
COLOGNE,gasyoun,42,User
COLOGNE,dependabot[bot],6,Bot
COLOGNE,DmitriSKT,3,User
CORRECTIONS,funderburkjim,482,User
CORRECTIONS,drdhaval2785,182,User
CORRECTIONS,gasyoun,28,User
CORRECTIONS,AnnaRybakovaT,6,User
CORRECTIONS,dependabot[bot],1,Bot
DCS,gasyoun,29,User
DCS,dependabot[bot],5,Bot
FRI,gasyoun,27,User
FRI,dependabot[bot],5,Bot
FRI,funderburkjim,5,User
GRA,gasyoun,48,User
GRA,funderburkjim,46,User
GRA,dependabot[bot],7,Bot
GreekInSanskrit,gasyoun,14,User
GreekInSanskrit,dependabot[bot],1,Bot
GreekInSanskrit,funderburkjim,1,User
INM,gasyoun,32,User
INM,funderburkjim,7,User
INM,dependabot[bot],1,Bot
KNA,gasyoun,14,User
KNA,dependabot[bot],3,Bot
KOW,gasyoun,16,User
KOW,dependabot[bot],1,Bot
KRM,gasyoun,35,User
KRM,funderburkjim,4,User
KRM,dependabot[bot],1,Bot
LRV,drdhaval2785,121,User
LRV,gasyoun,33,User
LRV,funderburkjim,2,User
LRV,dependabot[bot],1,Bot
MCI,gasyoun,31,User
MCI,dependabot[bot],1,Bot
MD,gasyoun,38,User
MD,AnnaRybakovaT,36,User
MD,funderburkjim,31,User
MD,dependabot[bot],5,Bot
MW72,gasyoun,25,User
MW72,funderburkjim,5,User
MW72,dependabot[bot],1,Bot
MWS,gasyoun,242,User
MWS,funderburkjim,224,User
MWS,drdhaval2785,43,User
MWS,Andhrabharati,39,User
MWS,dependabot[bot],9,Bot
MWS,AnnaRybakovaT,3,User
MWinflect,funderburkjim,82,User
MWinflect,gasyoun,34,User
MWinflect,dependabot[bot],1,Bot
PUI,drdhaval2785,72,User
PUI,gasyoun,18,User
PUI,dependabot[bot],1,Bot
PWG,funderburkjim,303,User
PWG,gasyoun,88,User
PWG,drdhaval2785,74,User
PWG,dependabot[bot],5,Bot
PWK,funderburkjim,201,User
PWK,gasyoun,51,User
PWK,drdhaval2785,44,User
PWK,AnnaRybakovaT,9,User
PWK,dependabot[bot],7,Bot
PWK,maltenth,1,User
SCH,gasyoun,38,User
SCH,funderburkjim,17,User
SCH,dependabot[bot],5,Bot
SHS,gasyoun,29,User
SHS,drdhaval2785,14,User
SHS,funderburkjim,2,User
SHS,dependabot[bot],1,Bot
SKD,funderburkjim,48,User
SKD,gasyoun,29,User
SKD,AnnaRybakovaT,1,User
SKD,dependabot[bot],1,Bot
STC,gasyoun,31,User
STC,funderburkjim,2,User
STC,dependabot[bot],1,Bot
VCP,drdhaval2785,66,User
VCP,gasyoun,50,User
VCP,funderburkjim,35,User
VCP,dependabot[bot],5,Bot
VEI,gasyoun,32,User
VEI,drdhaval2785,5,User
VEI,dependabot[bot],1,Bot
VEI,funderburkjim,1,User
WIL,funderburkjim,35,User
WIL,drdhaval2785,33,User
WIL,gasyoun,29,User
WIL,dependabot[bot],1,Bot
Wil-YAT,gasyoun,10,User
Wil-YAT,funderburkjim,6,User
Wil-YAT,dependabot[bot],1,Bot
alternateheadwords,drdhaval2785,93,User
alternateheadwords,funderburkjim,18,User
alternateheadwords,gasyoun,16,User
alternateheadwords,dependabot[bot],1,Bot
avlinks,gasyoun,15,User
avlinks,funderburkjim,7,User
avlinks,dependabot[bot],1,Bot
cologne-hugo,gasyoun,9,User
cologne-hugo,drdhaval2785,1,User
cologne-hugo,dependabot[bot],1,Bot
cologne-stardict,drdhaval2785,518,User
cologne-stardict,gasyoun,10,User
cologne-stardict,github-actions[bot],2,Bot
cologne-stardict,dependabot[bot],1,Bot
csl-apidev,funderburkjim,413,User
csl-apidev,gasyoun,172,User
csl-apidev,drdhaval2785,68,User
csl-apidev,actions-user,9,User
csl-apidev,dependabot[bot],8,Bot
csl-app,drdhaval2785,179,User
csl-app,gasyoun,28,User
csl-app,dependabot[bot],6,Bot
csl-corrections,funderburkjim,377,User
csl-corrections,drdhaval2785,367,User
csl-corrections,github-actions[bot],124,Bot
csl-corrections,gasyoun,97,User
csl-corrections,dependabot[bot],5,Bot
csl-devanagari,drdhaval2785,122,User
csl-devanagari,gasyoun,20,User
csl-devanagari,dependabot[bot],1,Bot
csl-devanagari,funderburkjim,1,User
csl-doc,funderburkjim,27,User
csl-doc,gasyoun,18,User
csl-doc,drdhaval2785,6,User
csl-doc,dependabot[bot],5,Bot
csl-homepage,funderburkjim,40,User
csl-homepage,drdhaval2785,24,User
csl-homepage,gasyoun,20,User
csl-inflect,funderburkjim,60,User
csl-inflect,gasyoun,24,User
csl-inflect,dependabot[bot],1,Bot
csl-json,drdhaval2785,92,User
csl-json,gasyoun,14,User
csl-json,dependabot[bot],1,Bot
csl-kale,gasyoun,15,User
csl-kale,funderburkjim,3,User
csl-kale,dependabot[bot],1,Bot
csl-ldev,drdhaval2785,62,User
csl-ldev,gasyoun,15,User
csl-ldev,vvasuki,1,User
csl-ldev,dependabot[bot],1,Bot
csl-ldev,sumanthegde,1,User
csl-lnum,drdhaval2785,51,User
csl-lnum,gasyoun,14,User
csl-lnum,vvasuki,1,User
csl-lnum,dependabot[bot],1,Bot
csl-lslink,gasyoun,16,User
csl-lslink,funderburkjim,13,User
csl-lslink,drdhaval2785,1,User
csl-lslink,dependabot[bot],1,Bot
csl-newsletter,drdhaval2785,32,User
csl-newsletter,gasyoun,25,User
csl-newsletter,funderburkjim,5,User
csl-newsletter,dependabot[bot],1,Bot
csl-observatory,gasyoun,478,User
csl-observatory,dependabot[bot],17,Bot
csl-observatory,actions-user,5,User
csl-observatory,github-actions[bot],4,Bot
csl-orig,funderburkjim,1229,User
csl-orig,drdhaval2785,877,User
csl-orig,gasyoun,75,User
csl-orig,aumsanskrit,17,User
csl-orig,AnnaRybakovaT,11,User
csl-orig,dependabot[bot],9,Bot
csl-orig,shenyileirob,8,User
csl-orig,YevgenJohn,1,User
csl-orig,adminlip,1,User
csl-pywork,funderburkjim,320,User
csl-pywork,drdhaval2785,145,User
csl-pywork,gasyoun,83,User
csl-pywork,dependabot[bot],6,Bot
csl-pywork,YevgenJohn,1,User
csl-sqlite,gasyoun,8,User
csl-sqlite,drdhaval2785,2,User
csl-sqlite,dependabot[bot],1,Bot
csl-websanlexicon,funderburkjim,361,User
csl-websanlexicon,gasyoun,136,User
csl-websanlexicon,drdhaval2785,61,User
csl-websanlexicon,vlastavesely,1,User
csl-westergaard,gasyoun,14,User
csl-westergaard,funderburkjim,2,User
csl-westergaard,dependabot[bot],1,Bot
csl-whitroot,gasyoun,10,User
csl-whitroot,funderburkjim,4,User
csl-whitroot,dependabot[bot],1,Bot
hwnorm1,funderburkjim,89,User
hwnorm1,drdhaval2785,69,User
hwnorm1,actions-user,24,User
hwnorm1,gasyoun,23,User
hwnorm1,dependabot[bot],1,Bot
hwnorm2,actions-user,23,User
hwnorm2,funderburkjim,15,User
hwnorm2,gasyoun,12,User
hwnorm2,drdhaval2785,6,User
hwnorm2,dependabot[bot],1,Bot
literarysource,drdhaval2785,25,User
literarysource,gasyoun,13,User
literarysource,dependabot[bot],1,Bot
mw-dev,gasyoun,24,User
mw-dev,Andhrabharati,18,User
mw-dev,funderburkjim,17,User
mw-dev,dependabot[bot],3,Bot
mw-dev,drdhaval2785,3,User
rvlinks,gasyoun,14,User
rvlinks,funderburkjim,9,User
rvlinks,Haqob,2,User
rvlinks,dependabot[bot],1,Bot
sanskrit-fonts,gasyoun,9,User
sanskrit-fonts,funderburkjim,2,User
sanskrit-fonts,dependabot[bot],1,Bot
sanskrit-lexicon.github.io,gasyoun,21,User
sanskrit-lexicon.github.io,drdhaval2785,21,User
sanskrit-lexicon.github.io,funderburkjim,17,User
sanskrit-lexicon.github.io,dependabot[bot],3,Bot
santamlegacy,gasyoun,3,User
santamlegacy,dependabot[bot],1,Bot
temp_corrections_acc,funderburkjim,19,User
temp_corrections_acc,gasyoun,3,User
temp_corrections_acc,dependabot[bot],1,Bot
temp_corrections_ae,funderburkjim,12,User
temp_corrections_ae,gasyoun,3,User
temp_corrections_ae,dependabot[bot],1,Bot
temp_corrections_ap90,funderburkjim,14,User
temp_corrections_ap90,gasyoun,7,User
temp_corrections_ap90,AnnaRybakovaT,3,User
temp_corrections_ap90,dependabot[bot],1,Bot
temp_corrections_mw,gasyoun,7,User
temp_corrections_mw,funderburkjim,6,User
temp_corrections_mw,dependabot[bot],1,Bot
test_cologne_push,gasyoun,3,User
test_cologne_push,funderburkjim,2,User
test_cologne_push,dependabot[bot],1,Bot
