year,type_label,count
2014,bug,12
2014,content-enhancement,18
2014,encoding,7
2014,enhancement,44
2014,link-target,1
2014,markup,13
2014,question,28
2014,text-correction,9
2015,bug,8
2015,content-enhancement,14
2015,documentation,2
2015,encoding,2
2015,enhancement,48
2015,markup,30
2015,question,7
2015,scan-quality,1
2015,text-correction,8
2016,bug,6
2016,content-enhancement,9
2016,documentation,1
2016,encoding,2
2016,enhancement,18
2016,markup,16
2016,question,20
2016,text-correction,1
2017,bug,16
2017,content-enhancement,35
2017,encoding,7
2017,enhancement,38
2017,feature,1
2017,link-target,1
2017,markup,27
2017,question,15
2017,text-correction,8
2018,bug,3
2018,content-enhancement,8
2018,documentation,1
2018,encoding,1
2018,enhancement,46
2018,markup,1
2018,question,7
2018,text-correction,2
2019,bug,25
2019,content-enhancement,25
2019,documentation,14
2019,encoding,1
2019,enhancement,52
2019,feature,1
2019,markup,7
2019,question,21
2019,tech-debt,3
2019,text-correction,88
2020,bug,17
2020,content-enhancement,53
2020,documentation,12
2020,encoding,3
2020,enhancement,52
2020,feature,4
2020,link-target,2
2020,markup,33
2020,question,27
2020,scan-quality,1
2020,tech-debt,4
2020,text-correction,294
2021,bug,60
2021,content-enhancement,49
2021,documentation,12
2021,encoding,22
2021,enhancement,68
2021,feature,2
2021,link-splitting,1
2021,link-target,5
2021,markup,45
2021,performance,1
2021,question,53
2021,scan-quality,29
2021,tech-debt,2
2021,text-correction,310
2022,bug,32
2022,content-enhancement,26
2022,documentation,10
2022,encoding,8
2022,enhancement,36
2022,feature,6
2022,link-target,16
2022,markup,23
2022,question,13
2022,scan-quality,6
2022,security,1
2022,tech-debt,1
2022,text-correction,313
2023,bug,19
2023,content-enhancement,19
2023,documentation,7
2023,encoding,5
2023,enhancement,35
2023,feature,2
2023,link-target,3
2023,markup,13
2023,question,16
2023,text-correction,437
2024,bug,19
2024,content-enhancement,15
2024,documentation,3
2024,encoding,2
2024,enhancement,31
2024,feature,2
2024,link-splitting,2
2024,link-target,8
2024,markup,24
2024,question,10
2024,scan-quality,4
2024,security,1
2024,text-correction,276
2025,bug,19
2025,content-enhancement,16
2025,documentation,21
2025,encoding,3
2025,enhancement,32
2025,feature,1
2025,link-splitting,6
2025,link-target,61
2025,markup,13
2025,question,32
2025,scan-quality,4
2025,tech-debt,2
2025,text-correction,1026
2026,bug,90
2026,content-enhancement,32
2026,documentation,36
2026,encoding,10
2026,enhancement,106
2026,feature,8
2026,infrastructure,9
2026,link-target,9
2026,markup,84
2026,performance,3
2026,question,47
2026,scan-quality,1
2026,tech-debt,5
2026,text-correction,101
