dict,n_sampled,mean_chars,cites_per_entry,pct_cited,pct_etymology,pct_crossref,pct_homonym,pct_gram
krm,2061,1589.21,1.18,99.66,0.00,0.00,0.00,0.00
pgn,485,1519.85,0.79,8.66,1.65,2.89,0.00,1.24
mci,2643,1283.61,0.03,6.28,0.11,15.93,0.00,0.61
vei,3000,752.17,0.00,0.00,0.20,8.97,0.00,0.00
pe,3000,718.28,0.24,9.40,0.13,5.57,0.00,0.00
snp,453,624.66,0.03,1.55,0.22,23.18,0.00,0.00
skd,3000,553.88,1.22,50.67,0.00,0.00,0.00,0.00
inm,3000,551.01,0.30,17.63,0.13,8.83,0.00,0.23
pwg,3000,459.98,5.11,94.43,0.03,0.00,0.03,79.77
gra,3000,455.88,0.25,14.70,0.00,0.00,8.60,0.00
vcp,3000,439.47,1.37,94.70,0.00,0.00,0.00,0.00
bhs,3000,394.33,2.76,92.00,0.57,47.73,1.10,53.93
acph,163,373.87,0.00,0.00,0.00,0.00,0.00,0.00
ae,3000,369.95,0.09,6.27,0.07,0.20,0.00,97.23
ap90,3000,340.01,1.17,32.30,0.23,5.93,0.00,3.07
gst,3000,335.20,0.00,3.00,0.07,6.70,0.00,2.67
ben,3000,319.50,2.75,78.67,4.33,13.70,0.00,0.03
mw72,3000,307.18,0.00,4.90,9.27,12.97,0.00,5.80
abch,1965,292.58,0.00,0.00,0.00,0.00,0.00,0.00
md,3000,265.07,0.00,0.27,0.03,0.03,5.60,89.50
mwe,3000,264.75,0.00,0.63,0.00,0.57,0.00,0.33
fri,3000,248.03,0.00,0.00,0.00,0.60,0.00,0.00
lan,3000,245.07,0.01,0.40,8.47,23.47,0.00,0.27
bur,3000,235.63,0.00,0.33,3.17,9.83,0.00,0.00
bor,3000,226.96,0.03,2.77,0.07,3.53,0.00,2.70
bop,3000,222.36,0.00,3.23,4.87,8.07,0.00,0.00
stc,3000,221.69,0.00,0.00,0.00,0.50,0.00,0.00
wil,3000,217.75,0.00,0.27,0.00,5.10,0.00,99.57
pui,3000,215.24,0.00,0.03,0.00,2.60,0.00,0.20
ap,3000,199.76,0.68,32.77,0.00,4.10,0.00,29.30
acsj,240,197.58,0.00,0.00,0.00,0.00,0.00,0.00
shs,3000,194.55,0.01,2.17,0.00,5.40,0.00,31.30
pw,3000,178.69,0.50,36.37,0.03,0.00,5.53,80.30
armh,3000,175.10,0.00,0.00,0.00,0.00,0.00,0.00
mw,3000,171.95,1.09,79.73,0.47,5.10,3.77,68.07
ieg,3000,171.24,0.00,0.03,0.00,26.43,0.00,0.47
sch,3000,156.29,1.06,89.67,0.00,0.03,0.00,0.97
acc,3000,153.03,0.00,0.00,0.17,0.10,0.00,0.00
cae,3000,133.57,0.00,0.00,0.00,2.03,0.00,90.37
lrv,3000,128.34,0.28,16.07,0.00,1.63,0.00,1.57
pwkvn,3000,117.57,0.61,52.37,0.03,0.00,3.70,41.50
ccs,3000,116.85,0.00,0.80,0.00,0.00,0.00,0.00
yat,3000,113.36,0.00,0.43,0.07,0.00,0.00,0.17
