value	class_draft	evidence	source
2ten VP.	book-work	default: bib expansion with no person/periodical signal	no-bib-record
4te RĀJA-TAR.	book-work	default: bib expansion with no person/periodical signal	no-bib-record
A Catal. of Skt Mss. in priv. libr. of the north-west prov.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
A Catal. of Skt Mss. in priv. libr. of the north-west provinces	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
ABHIDHĀNOTTARA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
ABHIDHĀNOTTAROTTARA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
ABHINANDA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
ACYUTA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
ADBH. BR.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
ADBHUTA-BR.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
ADBHUTAS.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
ADBHUTASĀRA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
ADHIKARAṆAMĀLĀ	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
ADHIVĀSAMANTRA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
ADHYĀTMAR.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
ADHYĀTMARĀMĀYAṆA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
AESCH.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
AGASTYA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
AGASTYASAṂH.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:AGASTYASAṂH
AGNI-P.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
AGNISV.	person-author	person descriptor in tooltip	pwgbib-exact
AGNISVĀMIN	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
AINSL.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:AINSL
AINSLIE	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
AINSLIE, Mat. Ind.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
AIT. BR.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
AIT. BR. Comm.	commentary-of-work	Comm./Tīkā marker in value	pwgbib-prefix:AIT. BR.
AIT. UP.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
AIT. ĀR.	journal-periodical	periodical keyword in tooltip	pwgbib-exact
AIT. ĀRAṆY.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:AIT.
