rank	ls_code	title	citation_count	dict_citations	ru_subset_refs	ru_subset_scan_hits	total_pages	scan_dir	scan_url	scan_wired	index_issue_url	public_link	citations_per_page	already_queued
1	AK. Deslongchamps ed.	AMARAKOṢA 1839 Deslongchamps ed.	16151				818	amara_dlc	https://github.com/sanskrit-lexicon-scans/amara_dlc	yes	https://github.com/sanskrit-lexicon/PWG/issues/62		19.7	same H1715 verdict — no text layer, but BSB publishes per-page hOCR for this edition too (bsb10250868). Harvest, do not OCR.
2	H.	HEMACANDRA'S ABHIDHĀNACINTĀMAṆI : Bohtlingk	16148	6278	130	129	465	abch2	https://github.com/sanskrit-lexicon-scans/abch2	yes	https://github.com/sanskrit-lexicon/PWG/issues/104		34.7	OCR-from-scratch RULED OUT by the H1715 pilot (27-07-2026): local tesseract 5 `san` scores 17.8% valid tokens against this work's own committed e-text, while the Bayerische Staatsbibliothek already publishes per-page hOCR for this edition at 43.8% — 2.5× better and free. Re-scoped to ingest-and-correct; see reports/pwg_kosa_etext_pilot.md.
3	MED.	MEDINĪKOṢA 1807 Calc. ed.	12990	30	1		601	medini	https://github.com/sanskrit-lexicon-scans/medini	yes	https://github.com/sanskrit-lexicon/PWG/issues/105		21.6	
4	Spr. vol.1 (1st ed.)	Indische Sprüche V.1	10494				345	boesp1	https://github.com/sanskrit-lexicon-scans/boesp1	yes	https://github.com/sanskrit-lexicon/PWG/issues/87		30.4	
5	H. an.	HEMACANDRA'S ANEKĀRTHASAM̃GRAHA 1807 Calc. ed.	9781	1907	38	37	377	anekarthasamgraha	https://github.com/sanskrit-lexicon-scans/anekarthasamgraha	yes	https://github.com/sanskrit-lexicon/PWG/issues/123		25.9	
6	VARĀH. BṚH. S.	BRIHATSAMHITA	9174	4384	537	516	673	brihatsam	https://github.com/sanskrit-lexicon-scans/brihatsam	yes	https://github.com/sanskrit-lexicon/PWG/issues/92		13.6	
7	RAGH.	RAGHUVAM̃SA 1832 Stenzler ed.	8752	4194	566	566	385	raghuvamsa	https://github.com/sanskrit-lexicon-scans/raghuvamsa	yes	https://github.com/sanskrit-lexicon/PWG/issues/100		22.7	
8	TRIK.	(Same book as 16 above) TRIKĀṆḌAŚEṢA 1807 ed. Calc.	8426	4886	66	65		medini	https://github.com/sanskrit-lexicon-scans/medini	yes	https://github.com/sanskrit-lexicon/PWG/issues/105			
9	PAÑCAT.	PAÑCATANTRA 1848 Kosegarten ed.	8170		482	481	289	pantankose	https://github.com/sanskrit-lexicon-scans/pantankose	yes	https://github.com/sanskrit-lexicon/PWG/issues/86		28.3	
10	RĀJA-TAR.	RĀJATARAṄGIṆĪ	7784	4126	543	543	599	rAjatar	https://github.com/sanskrit-lexicon-scans/rAjatar	yes	https://github.com/sanskrit-lexicon/PWG/issues/135		13.0	
11	KĀTY. ŚR.	KĀTYĀYANA'S ŚRAUTASŪTRĀṆI	6734	1897	315	315	1168	katyasr	https://github.com/sanskrit-lexicon-scans/katyasr	yes	https://github.com/sanskrit-lexicon/PWG/issues/136		5.8	
12	VS.	VĀJASANEYISAM̃HITĀ	6078	2646	241	240	1098	vajasasa	https://github.com/sanskrit-lexicon-scans/vajasasa	yes	https://github.com/sanskrit-lexicon/PWG/issues/124		5.5	
13	ŚĀK.	ŚĀKUNTALA Bohtlingk ed.	5500	2679	440	439	427	shakuntala	https://github.com/sanskrit-lexicon-scans/shakuntala	yes	https://github.com/sanskrit-lexicon/PWG/issues/125		12.9	
14	MĀRK. P.	MĀRKĀṆḌEYAPURĀṆA	5436	2389	355	355	693	markandeyapurana	https://github.com/sanskrit-lexicon-scans/markandeyapurana	yes	https://github.com/sanskrit-lexicon/PWG/issues/122		7.8	
15	TS.	TAITTIRĪYASAM̃HITĀ	5387	2736	353	352	846	taittiriyas	https://github.com/sanskrit-lexicon-scans/taittiriyas	yes	https://github.com/sanskrit-lexicon/PWG/issues/134		6.4	
16	HALĀY.	HALĀYUDHA	5159	1209	29	26	417	armh2	https://github.com/sanskrit-lexicon-scans/armh2	yes	https://github.com/sanskrit-lexicon/PWG/issues/121		12.4	
17	VOP.	VOPADEVA'S Grammatik, Bohtlingk	5149	1441	280	276	489	mugdhabodha	https://github.com/sanskrit-lexicon-scans/mugdhabodha	yes	https://github.com/sanskrit-lexicon/PWG/issues/110		10.5	
18	AIT. BR.	AITAREYABRĀHMAṆA	4545	2458	258	257	898	aitbr	https://github.com/sanskrit-lexicon-scans/aitbr	yes	https://github.com/sanskrit-lexicon/PWG/issues/159		5.1	
19	SĀH. D.	SĀHITYADARPAṆA	3860	2246	106	106	497	sahityadarpana	https://github.com/sanskrit-lexicon-scans/sahityadarpana	yes	https://github.com/sanskrit-lexicon/PWG/issues/101		7.8	
20	YĀJÑ.	YĀJÑAVALKYA'S Gesetzbuch	3794		240	239	316	yajnavalkya	https://github.com/sanskrit-lexicon-scans/yajnavalkya	yes	https://github.com/sanskrit-lexicon/PWG/issues/98		12.0	
21	N.	NALOPĀKHYĀNA in B. Ch.	3446	1191	193	193	459	bchrest1	https://github.com/sanskrit-lexicon-scans/bchrest1	yes	https://github.com/sanskrit-lexicon/PWG/issues/93		7.5	
22	HIT.	HITOPADEŚA 1829 Schlegel & Lassen ed.	3364	953	225	224	460	hitopadesha	https://github.com/sanskrit-lexicon-scans/hitopadesha	yes	https://github.com/sanskrit-lexicon/PWG/issues/152		7.3	
23	NIR.	YĀSKA'S NIRUKTA sammt den NIGHAṆṬAVA'S	3166	1945	72	71	552	nirukta	https://github.com/sanskrit-lexicon-scans/nirukta	yes	https://github.com/sanskrit-lexicon/PWG/issues/167		5.7	
24	TBR.	TAITTIRĪYABRĀHMAṆA	2929	1600	211	210	2420	taittiriyabr	https://github.com/sanskrit-lexicon-scans/taittiriyabr	yes	https://github.com/sanskrit-lexicon/PWG/issues/144		1.2	
25	BHAṬṬ.	BHAṬṬIKĀVYA 1828 Calc. ed.	2561	1428	378	377	1456	bhattikavya	https://github.com/sanskrit-lexicon-scans/bhattikavya	yes	https://github.com/sanskrit-lexicon/PWG/issues/143		1.8	
26	KUMĀRAS.	KUMĀRASAM̃BHAVA	2510	1268	139	139	159	kumaras	https://github.com/sanskrit-lexicon-scans/kumaras	yes	https://github.com/sanskrit-lexicon/PWG/issues/146		15.8	
27	BHAG.	BHAGAVADGĪTĀ 1823 Schlegel ed.	2275	1372	205	204	225	bhagavadgita	https://github.com/sanskrit-lexicon-scans/bhagavadgita	yes	https://github.com/sanskrit-lexicon/PWG/issues/129		10.1	
28	PAÑCAR.	NĀRADA PAÑCARĀTRA	2221		74	74	395	pancar	https://github.com/sanskrit-lexicon-scans/pancar	partial	https://github.com/sanskrit-lexicon/PWG/issues/137		5.6	
29	MEGH.	MEGHADŪTA	2020	945	114	114	153	meghasrnga	https://github.com/sanskrit-lexicon-scans/meghasrnga	yes	https://github.com/sanskrit-lexicon/PWG/issues/147		13.2	
30	HĀR.	(Same book as 16 above) HĀRĀVALĪ 1807 Calc. ed.	1865	911	4	4		medini	https://github.com/sanskrit-lexicon-scans/medini	yes	https://github.com/sanskrit-lexicon/PWG/issues/105			
31	ṚV. PRĀT.	RigVeda, Uebersetzung des Prâtisâkhya (1856 & 1869) Max Muller	1755	788	51		746	rvps	https://github.com/sanskrit-lexicon-scans/rvps	yes	https://github.com/sanskrit-lexicon/PWG/issues/173		2.4	
32	VIKR.	VIKRAMORVAŚĪ	1560	808	90	90	723	vikramor	https://github.com/sanskrit-lexicon-scans/vikramor	yes	https://github.com/sanskrit-lexicon/PWG/issues/157		2.2	
33	NAIGH.	(Same book as 36 above) YĀSKA'S NIRUKTA zu Grunde liegende NAIGHAṆṬUKAKĀṆḌA	1477	1227	22	21		nirukta	https://github.com/sanskrit-lexicon-scans/nirukta	yes	https://github.com/sanskrit-lexicon/PWG/issues/167			
34	H. ś.	(Same book as 13 above) die Śeṣa zu HEMACANDRA'S ABHIDHĀNACINTĀMAṆI	1301	976	3	3		abch2	https://github.com/sanskrit-lexicon-scans/abch2	yes	https://github.com/sanskrit-lexicon/PWG/issues/104			OCR-from-scratch RULED OUT by the H1715 pilot (27-07-2026): local tesseract 5 `san` scores 17.8% valid tokens against this work's own committed e-text, while the Bayerische Staatsbibliothek already publishes per-page hOCR for this edition at 43.8% — 2.5× better and free. Re-scoped to ingest-and-correct; see reports/pwg_kosa_etext_pilot.md.
35	BHARTṚ.	BHARTṚHARI (1833) BOHLEN ed.	1282	785	70	69	293	bhartrhari	https://github.com/sanskrit-lexicon-scans/bhartrhari	yes	https://github.com/sanskrit-lexicon/PWG/issues/148		4.4	
36	GĪT.	GĪTAGOVINDA	1140	595	49	48	222	gitagov	https://github.com/sanskrit-lexicon-scans/gitagov	yes	https://github.com/sanskrit-lexicon/PWG/issues/153		5.1	
