ls_code	ls_code_raw	ls_code_base	book_no	volume	title	status	status_gloss	vedic_marked	shares_book_with_previous	citation_count	citation_count_safe	citation_count_provenance	citation_count_full	total_pages	volunteer	started	finished	issue_repo	issue_no	issue_url	index_posted	scan_dir	scan_dir_canonical	scan_spelling_ok	scan_url	scan_pages_url	scan_repo_exists	scan_repo_size_kb	scan_repo_pushed_at	scan_audit_note	public_link	in_pwgbib	dict_citations	dict_citations_key	count_ratio	edition_qualified	ru_subset_refs	ru_subset_scan	ru_match_key	resolver_repos	scan_wired	sheet_row_no
Spr. vol.1 (1st ed.)	Spr. vol.1 (1st ed.)	Spr. vol.1	4a		Indische Sprüche V.1	done	index built, reviewed, and posted			10494	10494	exact	12850	345	@Azanuka2412	2025-01-30	2025-02-01	PWG	87	https://github.com/sanskrit-lexicon/PWG/issues/87	2025-02-01	boesp1	boesp1	yes	https://github.com/sanskrit-lexicon-scans/boesp1	https://sanskrit-lexicon-scans.github.io/boesp1/	true	339162	2025-07-09	Exact name match, public, Pages live (200). No description.		Spr.				yes					yes	
Spr. vol.2 (1st ed.)	Spr. vol.2 (1st ed.)	Spr. vol.2	4b		Indische Sprüche V.2	done	index built, reviewed, and posted					inherited-family	12850	377	@sofia28000	2025-01-30	2025-02-07	PWG	87	https://github.com/sanskrit-lexicon/PWG/issues/87	2025-02-07	boesp1	boesp1	yes	https://github.com/sanskrit-lexicon-scans/boesp1	https://sanskrit-lexicon-scans.github.io/boesp1/	true	339162	2025-07-09	Exact name match, public, Pages live (200). No description.		Spr.				yes					yes	
Spr. vol.3 (1st ed.)	Spr. vol.3 (1st ed.)	Spr. vol.3	4c		Indische Sprüche V.3	done	index built, reviewed, and posted					inherited-family	12850	420	@angalinde	2025-01-30	2025-01-31	PWG	87	https://github.com/sanskrit-lexicon/PWG/issues/87	2025-02-01	boesp1	boesp1	yes	https://github.com/sanskrit-lexicon-scans/boesp1	https://sanskrit-lexicon-scans.github.io/boesp1/	true	339162	2025-07-09	Exact name match, public, Pages live (200). No description.		Spr.				yes					yes	
YĀJÑ.	YĀJÑ.	YĀJÑ.	6		YĀJÑAVALKYA'S Gesetzbuch	done	index built, reviewed, and posted			3794	3794	exact	4038	316	@OFar0101	2025-02-10	2025-02-13	PWG	98	https://github.com/sanskrit-lexicon/PWG/issues/98	2025-02-13	yajnavalkya	yajnavalkya	yes	https://github.com/sanskrit-lexicon-scans/yajnavalkya	https://sanskrit-lexicon-scans.github.io/yajnavalkya/	true	15384	2025-07-12	Exact match. Smallest of the 37 at ~15 MB.		YĀJÑ.					240	239	YĀJÑ.	yajnavalkya	yes	
RAGH.	RAGH.	RAGH.	1a		RAGHUVAM̃SA 1832 Stenzler ed.	done	index built, reviewed, and posted			8752	8752	exact	9742	385	@grigoriyt1	2025-01-29	2025-01-30	PWG	100	https://github.com/sanskrit-lexicon/PWG/issues/100	2025-02-21	raghuvamsa	raghuvamsa	yes	https://github.com/sanskrit-lexicon-scans/raghuvamsa	https://sanskrit-lexicon-scans.github.io/raghuvamsa/	true	93981	2025-03-23	Exact match. Distinct from sibling repo raghuvamsacalc, which is also in the tracker.		RAGH.	4194	RAGH.	2.09		566	566	RAGH.	raghuvamsa	yes	
SĀH. D.	SĀH. D.	SĀH. D.	5		SĀHITYADARPAṆA	done	index built, reviewed, and posted			3860	3860	exact	4630	497	@Azanuka2412	2025-02-12	2025-02-23	PWG	101	https://github.com/sanskrit-lexicon/PWG/issues/101	2025-02-23	sahityadarpana	sahityadarpana	yes	https://github.com/sanskrit-lexicon-scans/sahityadarpana	https://sanskrit-lexicon-scans.github.io/sahityadarpana/	true	187938	2025-10-23	Exact match. Org also has a separate sahityadarpana_mw repo not in the tracker list.		SĀH. D.	2246	SĀH. D.	1.72		106	106	SĀH. D.	sahityadarpana	yes	
N.	N.	N.	9		NALOPĀKHYĀNA in B. Ch.	done	index built, reviewed, and posted			3446	3446	exact	2819	459	@angalinde	2025-02-10	2025-02-10	PWG	93	https://github.com/sanskrit-lexicon/PWG/issues/93	2025-02-10	bchrest1	bchrest1	yes	https://github.com/sanskrit-lexicon-scans/bchrest1	https://sanskrit-lexicon-scans.github.io/bchrest1/	true	21479	2025-07-09	Exact match. Sibling bchrest2 exists in the org but is not in the tracker list.		N.	1191	N.	2.89		193	193	N.	bchrest1	yes	
VID.	VID.	VID.	10		(Same book as 9 above) Geschichte des VIDŪṢAKA in B. Ch.	done	index built, reviewed, and posted		yes	1127	1127	exact	1395		@angalinde	2025-02-12	2025-02-12	PWG	97	https://github.com/sanskrit-lexicon/PWG/issues/97	2025-02-12	bchrest1	bchrest1	yes	https://github.com/sanskrit-lexicon-scans/bchrest1	https://sanskrit-lexicon-scans.github.io/bchrest1/	true	21479	2025-07-09	Exact match. Sibling bchrest2 exists in the org but is not in the tracker list.		VID.	490	VID.	2.3		164	164	VID.	bchrest1	yes	
DAŚ.	DAŚ.	DAŚ.	11		(Same book as 9 above) DAŚARATHA'S Tod in B. Ch.	done	index built, reviewed, and posted		yes	413	413	exact	453		@angalinde	2025-02-12	2025-02-12	PWG	96	https://github.com/sanskrit-lexicon/PWG/issues/96	2025-02-12	bchrest1	bchrest1	yes	https://github.com/sanskrit-lexicon-scans/bchrest1	https://sanskrit-lexicon-scans.github.io/bchrest1/	true	21479	2025-07-09	Exact match. Sibling bchrest2 exists in the org but is not in the tracker list.		DAŚ.	191	DAŚ.	2.16		37	37	DAŚ.	bchrest1	yes	
VIŚV.	VIŚV.	VIŚV.	12		(Same book as 9 above) VIŚVĀMITRA'S Kampf in B. Ch.	done	index built, reviewed, and posted		yes	370	370	exact	402		@angalinde	2025-02-12	2025-02-12	PWG	95	https://github.com/sanskrit-lexicon/PWG/issues/95	2025-02-12	bchrest1	bchrest1	yes	https://github.com/sanskrit-lexicon-scans/bchrest1	https://sanskrit-lexicon-scans.github.io/bchrest1/	true	21479	2025-07-09	Exact match. Sibling bchrest2 exists in the org but is not in the tracker list.		VIŚV.	145	VIŚV.	2.55		12	12	VIŚV.	bchrest1	yes	
