repo,description,primary_language,size_kb,created_at,updated_at,pushed_at,default_branch,stars,forks,open_issues,archived,license,all_languages
ACC,ACC specific issues,Python,2153,2017-05-28T18:26:15Z,2026-07-11T10:19:57Z,2026-07-12T12:23:17Z,main,0,0,9,false,CC-BY-SA-4.0,"Python,HTML"
AMAR,Convert Amarakosha to CDSD format,Python,453,2024-01-30T03:54:09Z,2026-07-12T16:08:19Z,2026-07-12T16:08:06Z,main,0,0,1,false,GPL-2.0,"Python,HTML,Shell"
AP,"Collaborative tools for parsing, validating, and improving the Apte Sanskrit-English Dictionary (1957)",Python,37737,2025-07-06T20:04:16Z,2026-07-20T05:14:40Z,2026-07-20T05:14:42Z,main,0,0,11,false,CC-BY-SA-4.0,"Python,PHP,Shell,HTML"
AP90,Research work on Apte Sanskrit-English Dictionary of 1890,Python,23457,2020-03-14T19:00:32Z,2026-07-20T05:13:01Z,2026-07-20T05:12:53Z,main,0,0,16,false,GPL-3.0,"Python,PHP,HTML,Shell"
ApteES,Apte English-Sanskrit Dictionary,Python,13697,2014-07-15T18:59:03Z,2026-07-20T05:12:46Z,2026-07-20T05:12:49Z,main,5,2,2,false,CC-BY-SA-4.0,"Python,HTML,Shell"
ArabicInSanskrit,Arabic words occuring in Sanskrit Dictionaries,,14,2015-01-18T20:43:43Z,2026-07-10T22:31:59Z,2026-07-10T22:31:52Z,main,0,2,0,false,CC-BY-SA-4.0,
BEN,Research related to Benfey Sanskrit-English dictionary,Python,11607,2020-04-30T21:22:16Z,2026-07-19T18:45:28Z,2026-07-19T18:45:24Z,main,0,0,5,false,CC-BY-SA-4.0,"Python,HTML,Shell"
BHS,BHS dictionary codes,Python,6990,2016-01-02T03:42:33Z,2026-07-14T09:21:34Z,2026-07-14T09:21:30Z,main,0,0,4,false,CC-BY-SA-4.0,"Python,HTML,Shell"
BOP,Work on Bopp Glossarium Sanscritum,Python,10189,2022-05-02T16:46:21Z,2026-07-14T09:21:57Z,2026-07-14T09:21:51Z,main,0,0,1,false,CC-BY-SA-4.0,"Python,HTML,Shell"
BOR,Development of BOR dictionary,HTML,13516,2021-09-14T04:46:13Z,2026-07-19T18:45:49Z,2026-07-19T18:45:45Z,main,0,0,3,false,CC-BY-SA-4.0,"HTML,Python,Shell"
BUR,Research related to Burnouf dictionary,Python,5895,2020-04-09T17:26:54Z,2026-07-12T03:33:46Z,2026-07-14T09:21:54Z,main,0,0,1,false,CC-BY-SA-4.0,"Python,Rich Text Format,HTML,Shell"
CAE,Cappeller Sanskrit-English Dictionary research work,Python,8602,2020-04-12T02:54:50Z,2026-07-13T19:38:06Z,2026-07-13T19:37:22Z,main,0,0,3,false,CC-BY-SA-4.0,"Python,HTML,Shell"
CCS,Cappeller Sanskrit Wörterbuch Research,Python,4135,2020-04-15T01:40:11Z,2026-07-13T19:38:05Z,2026-07-13T19:37:25Z,main,0,0,2,false,CC-BY-SA-4.0,"Python,HTML,Shell"
COLOGNE,Development of http://www.sanskrit-lexicon.uni-koeln.de/,HTML,8187,2014-01-14T14:14:31Z,2026-07-20T05:12:31Z,2026-07-20T05:12:35Z,main,19,4,199,false,GPL-3.0,"HTML,Python,Shell,XSLT,JavaScript"
CORRECTIONS,Correction history for Cologne Sanskrit Lexicon,HTML,184718,2014-09-30T01:17:51Z,2026-07-15T19:55:50Z,2026-07-13T18:57:41Z,main,10,5,86,false,CC-BY-SA-4.0,"HTML,Python,CSS,PHP,Shell,Hack"
DCS,Development of http://kjc-fs-cluster.kjc.uni-heidelberg.de/dcs/,,466,2014-01-17T07:47:11Z,2026-07-20T05:12:30Z,2026-07-20T05:12:33Z,main,0,0,4,false,CC-BY-SA-4.0,
FRI,"Фриш, Олдржих (1903-1955). Санскритская хрестоматия [Текст] : Sanskrit reader = Sanskrtská čítanka / Олдржих Фриш,. - Москва : АБВ. T. 2. - 2015.",Python,3587,2024-01-26T12:33:11Z,2026-07-20T05:12:40Z,2026-07-20T05:12:43Z,main,0,0,3,false,CC-BY-SA-4.0,"Python,HTML"
GRA,Grassman Wörterbuch zum Rig Veda,Python,20216,2014-09-29T16:24:14Z,2026-07-20T05:14:00Z,2026-07-20T05:13:58Z,main,3,0,10,false,CC-BY-SA-4.0,"Python,PHP,JavaScript,HTML,CSS,Hack,Shell"
GreekInSanskrit,Provide missing Greek text for the Cologne digitizations of Sanskrit dictionaries.,,271,2015-04-15T01:46:39Z,2026-07-10T22:31:25Z,2026-07-10T22:31:17Z,main,0,1,1,false,CC-BY-SA-4.0,
INM,Index to names in the Mahabharata ,Python,5523,2021-12-03T23:44:57Z,2026-07-19T18:46:13Z,2026-07-19T18:46:09Z,main,0,0,3,false,CC-BY-SA-4.0,"Python,HTML"
KNA,Knauer Sanskrit-Russian Vocabulary,HTML,33,2026-02-21T14:10:52Z,2026-07-10T22:30:59Z,2026-07-12T01:13:01Z,main,0,0,1,false,CC-BY-SA-4.0,HTML
KOW,Kossowich Sanskrit-Russian Dictionary,HTML,38,2026-02-21T14:29:22Z,2026-07-10T22:30:46Z,2026-07-10T22:30:42Z,main,0,0,1,false,CC-BY-SA-4.0,HTML
KRM,Research on Cologne digitization of Kṛdantarūpamālā,Python,9345,2020-03-31T18:37:42Z,2026-07-12T12:22:18Z,2026-07-14T05:06:42Z,main,1,0,3,false,CC-BY-SA-4.0,"Python,HTML,Shell"
LRV,Convert the data of L R Vaidya Sanskrit-English dictionary to CDSL format,Python,63475,2022-09-20T10:53:08Z,2026-07-14T09:22:31Z,2026-07-14T09:22:25Z,main,0,0,3,false,CC-BY-SA-4.0,"Python,HTML,Shell"
MCI,"Mahabharata Cultural Index, Volumes One and Two",Python,5103,2014-09-26T07:42:37Z,2026-07-10T22:30:52Z,2026-07-14T09:22:28Z,main,0,0,1,false,CC-BY-SA-4.0,"Python,HTML"
MD,Research re Macdonell Sanskrit-English Dictionary,Python,11583,2020-04-17T21:09:31Z,2026-07-20T05:13:21Z,2026-07-20T05:13:19Z,main,0,0,6,false,CC-BY-SA-4.0,"Python,HTML,Shell"
MW72,Discussion for the 1872 edition of Monier-Williams Sanskrit-English Dictionary,Python,32093,2014-08-24T21:07:17Z,2026-07-11T11:05:04Z,2026-07-12T01:13:30Z,main,0,0,1,false,CC-BY-SA-4.0,"Python,HTML,Shell"
MWS,"Monier Monier-Williams, Sir; A Sanskrit-English dictionary. Oxford, 1899",HTML,260919,2014-01-16T19:34:16Z,2026-07-20T05:14:24Z,2026-07-20T05:14:21Z,master,10,5,39,false,CC-BY-SA-4.0,"HTML,Python,Shell,JavaScript,PHP,Java,CSS"
MWinflect,Generate declensions and conjugations based upon words in MW1899 dictionary.,Python,27329,2018-10-16T20:28:07Z,2026-07-12T03:33:28Z,2026-07-14T09:22:33Z,main,1,1,48,false,CC-BY-SA-4.0,"Python,PHP,HTML,Shell,JavaScript,CSS"
PUI,Purana Index 1951,HTML,1846,2026-04-05T03:27:56Z,2026-07-19T18:46:15Z,2026-07-19T18:46:12Z,main,0,0,2,false,CC-BY-SA-4.0,"HTML,Python"
PWG,"Boehtlingk und Roth  Sanskrit Wörterbuch, 7 Bände Petersburg 1855-1875",Python,119053,2014-01-14T14:01:39Z,2026-07-20T05:13:38Z,2026-07-20T05:13:31Z,main,0,0,27,false,CC-BY-SA-4.0,"Python,JavaScript,Shell,HTML"
PWK,"Sanskrit-Wörterbuch in kürzerer Fassung, 7 Bände Petersburg 1879-1889",HTML,86660,2014-01-14T14:12:31Z,2026-07-20T05:13:55Z,2026-07-20T05:13:59Z,main,3,1,38,false,CC-BY-SA-4.0,"HTML,Python,JavaScript,Shell,PHP"
SCH,Issues related to Schmidt Sanskrit Dictionary,Python,5482,2014-01-15T18:51:49Z,2026-07-20T05:13:14Z,2026-07-20T05:13:19Z,main,0,0,4,false,CC-BY-SA-4.0,"Python,HTML,Shell"
SHS,Work on cdsl dictionary Shabda-Sagara Sanskrit-English Dictionary,Python,6233,2025-12-22T01:57:08Z,2026-07-14T09:23:00Z,2026-07-14T09:22:56Z,main,0,0,3,false,CC-BY-SA-4.0,"Python,HTML,Shell"
SKD,Discussion of corrections and other issues pertaining to Sabdakalpadruma dictionary at Sanskrit-Lexicon,HTML,13415,2014-07-19T18:58:18Z,2026-07-10T22:30:31Z,2026-07-14T05:07:07Z,main,0,0,12,false,CC-BY-SA-4.0,"HTML,Python,Shell"
STC,Research re Stchoupak Dictionnaire Sanscrit-Français,Python,2739,2020-04-19T20:55:39Z,2026-07-13T19:31:55Z,2026-07-14T05:07:10Z,main,0,0,2,false,CC-BY-SA-4.0,"Python,HTML,Shell"
VCP,Vachaspatyam,HTML,183844,2014-01-22T04:12:20Z,2026-07-20T05:14:52Z,2026-07-20T05:14:54Z,main,2,0,19,false,CC-BY-SA-4.0,"HTML,Python,Shell"
VEI,VEI dictionary codes,Python,4250,2016-01-02T10:19:41Z,2026-07-11T11:04:54Z,2026-07-14T09:23:07Z,main,0,0,1,false,CC-BY-SA-4.0,"Python,HTML,Shell"
WIL,Wilson Sanskrit-English Dictionary. Based on Cologne digitization. Work pertaining to corrections,HTML,17188,2014-12-28T21:05:00Z,2026-07-14T05:07:41Z,2026-07-14T05:07:38Z,main,2,2,14,false,CC-BY-SA-4.0,"HTML,Python,PHP,Shell,Perl,Batchfile"
Wil-YAT,Comparison of Wilson and Yates Headwords,Python,7567,2015-03-10T19:11:34Z,2026-07-11T10:17:05Z,2026-07-12T12:50:04Z,main,0,0,0,false,CC-BY-SA-4.0,"Python,Batchfile"
alternateheadwords,Prepare list of alternate headwords for all Cologne dictionaries,Python,24235,2016-10-03T04:13:55Z,2026-07-15T00:08:17Z,2026-07-15T00:08:14Z,main,1,0,18,false,CC-BY-SA-4.0,"Python,Shell"
avlinks,repository for hosting links to verses of Atharva Veda,HTML,4839,2021-04-08T19:42:19Z,2026-07-13T17:43:03Z,2026-07-13T17:42:57Z,main,2,0,1,false,GPL-3.0,"HTML,Python,CSS,Shell"
cologne-hugo,Host static sites generated by hugo. Currently treated as experimental.,,22,2021-01-20T04:59:39Z,2026-07-13T17:43:29Z,2026-07-14T09:24:33Z,main,0,0,0,false,GPL-3.0,
cologne-stardict,Scripts to convert Cologne XMLs into babylon format for merging into Stardict format.,Python,2805616,2017-04-16T07:56:59Z,2026-07-11T07:28:00Z,2026-07-11T07:27:49Z,main,9,3,3,false,MIT,"Python,Shell"
csl-apidev,CDSL PHP web-backend and API services (incl. Salt/Kosh API),PHP,227641,2019-03-16T20:29:46Z,2026-07-20T05:16:30Z,2026-07-20T05:16:33Z,main,1,0,22,false,GPL-3.0,"PHP,CSS,JavaScript,Python,HTML,Shell"
csl-app,An Android / iOS / macOS / Linux / Windows app for Sanskrit-Lexicon,Dart,16300,2026-03-18T17:23:15Z,2026-07-14T09:22:05Z,2026-07-14T09:24:21Z,main,1,0,0,false,GPL-3.0,"Dart,JavaScript,Python,C++,CMake,HTML,Ruby,Swift,C,Kotlin,Objective-C"
csl-corrections,Replacement for sanskrit-lexicon/CORRECTIONS. User corrections to sanskrit-lexicon/csl-orig,Python,14935,2019-12-16T20:34:55Z,2026-07-20T03:21:01Z,2026-07-20T03:20:56Z,main,0,0,13,false,GPL-3.0,"Python,CSS,PHP,Shell,HTML,Hack"
csl-devanagari,Convert SLP1 data from csl-orig into Devanagari for easy proofreading.,Python,442713,2021-09-02T18:18:17Z,2026-07-14T17:25:27Z,2026-07-14T17:24:51Z,main,0,1,13,false,CC-BY-SA-4.0,"Python,Shell"
csl-doc,Development version of cologne sanskrit lexicon 'documentation' ,HTML,186101,2018-10-24T21:56:19Z,2026-07-12T12:25:09Z,2026-07-12T12:24:58Z,main,1,0,2,false,GPL-3.0,"HTML,JavaScript,CSS,Python,Batchfile,Makefile"
csl-homepage,Code that generates the homepage of http://www.sanskrit-lexicon.uni-koeln.de/,Python,666,2019-03-21T01:18:14Z,2026-07-13T17:10:16Z,2026-07-14T09:24:36Z,main,0,0,1,false,CC-BY-SA-4.0,"Python,PHP,HTML,CSS,Shell"
csl-inflect,,Python,5442,2019-11-28T01:01:33Z,2026-07-15T05:18:52Z,2026-07-15T05:18:48Z,main,3,2,12,false,LGPL-3.0,"Python,PHP,HTML,Shell,JavaScript,CSS"
csl-json,Implementation of Json format of Cologne dictionary data.,Python,363237,2021-08-16T03:44:17Z,2026-07-11T06:14:38Z,2026-07-11T06:14:35Z,main,0,2,0,false,CC-BY-SA-4.0,"Python,Shell"
csl-kale,Scanned edition of *Kale Higher Sanskrit Grammar*,JavaScript,489324,2019-11-09T00:43:45Z,2026-07-12T12:25:04Z,2026-07-12T12:40:09Z,main,2,0,1,false,GPL-3.0,"JavaScript,Python,PHP,CSS,Hack,HTML"
csl-ldev,lnum wise entry for data in csl-devanagari for Devanagari correction submission.,,365996,2021-10-05T03:09:17Z,2026-07-14T05:08:38Z,2026-07-14T05:08:34Z,main,1,9,7,false,CC-BY-SA-4.0,
csl-lnum,Dictionary data in separate file for each lnum.,,382237,2021-10-02T09:28:21Z,2026-07-11T06:14:17Z,2026-07-11T06:14:14Z,main,0,1,1,false,CC-BY-SA-4.0,
csl-lslink,Mapping from cdsl dictionary ls links to href of link targets,Python,53163,2026-03-31T01:43:06Z,2026-07-12T12:25:16Z,2026-07-12T12:41:03Z,main,0,0,2,false,CC-BY-SA-4.0,"Python,PHP,Shell"
csl-newsletter,Monthly newsletter for works ongoing at Cologne Digital Sanskrit Lexicon,Python,111,2021-09-15T03:55:48Z,2026-07-14T09:22:13Z,2026-07-14T09:22:09Z,main,2,0,2,false,GPL-3.0,Python
csl-observatory,"Cross-repo analytics, dashboards, and data aggregator for the Cologne Digital Sanskrit Dictionaries ecosystem",Python,30078,2026-05-07T15:38:17Z,2026-07-19T11:01:31Z,2026-07-20T05:12:18Z,main,0,0,18,false,GPL-3.0,"Python,JavaScript,TeX,Shell,CSS"
csl-orig,Data for all dictionaries of Cologne. Now all corrections are made in this git-based workflow.,Python,874927,2019-07-23T06:30:32Z,2026-07-20T05:14:04Z,2026-07-20T05:13:57Z,main,20,12,35,false,CC-BY-SA-4.0,"Python,HTML,Shell"
csl-pywork,"CDSL dictionary-generation Python pipeline (generate_dict, XML validation)",Python,1469,2019-07-20T04:07:17Z,2026-07-20T05:14:51Z,2026-07-20T05:14:49Z,main,3,1,3,false,GPL-3.0,"Python,Shell,PHP"
csl-sqlite,Storage space for sqlites of Cologne Digital Sanskrit Dictionaries,,221785,2026-04-08T11:48:40Z,2026-07-12T12:25:36Z,2026-07-12T12:41:43Z,main,0,0,1,false,GPL-3.0,
