dict,ABCH,ACC,ACPH,ACSJ,AP,AP90,ARMH,BEN,BHS,BOP,BUR,CAE,CCS,FRI,GRA,GST,IEG,INM,KRM,LAN,LRV,MCI,MD,MW,MW72,PD,PE,PGN,PUI,PW,PWG,PWKVN,SCH,SHS,SKD,SNP,STC,VCP,VEI,WIL,YAT
ABCH,0.0000,0.9856,0.9762,0.9890,0.9461,0.9223,0.6161,0.7908,0.9496,0.7753,0.7961,0.8641,0.8463,0.8493,0.9194,0.9687,0.9332,0.9083,0.9811,0.8769,0.8420,0.9581,0.8269,0.9451,0.8797,0.9962,0.9169,0.9933,0.9017,0.9383,0.9140,0.9577,0.9305,0.8200,0.9590,0.9823,0.8468,0.8302,0.9220,0.8092,0.8125
ACC,0.9856,0.0000,0.9977,0.9991,0.9941,0.9949,0.9883,0.9867,0.9920,0.9889,0.9895,0.9792,0.9793,0.9879,0.9949,0.9979,0.9918,0.9843,0.9993,0.9922,0.9845,0.9946,0.9847,0.9186,0.9886,0.9985,0.9832,0.9980,0.9831,0.9463,0.9631,0.9825,0.9856,0.9849,0.9976,0.9992,0.9876,0.9813,0.9933,0.9853,0.9854
ACPH,0.9762,0.9977,0.0000,0.9869,0.9938,0.9912,0.9675,0.9793,0.9918,0.9718,0.9800,0.9872,0.9846,0.9725,0.9837,0.9962,0.9861,0.9763,0.9897,0.9698,0.9851,0.9841,0.9823,0.9939,0.9896,0.9997,0.9780,0.9948,0.9822,0.9933,0.9904,0.9939,0.9922,0.9850,0.9953,0.9899,0.9852,0.9857,0.9824,0.9847,0.9849
ACSJ,0.9890,0.9991,0.9869,0.0000,0.9971,0.9950,0.9778,0.9870,0.9955,0.9841,0.9883,0.9930,0.9920,0.9898,0.9943,0.9959,0.9936,0.9918,0.9922,0.9870,0.9916,0.9891,0.9896,0.9972,0.9932,0.9997,0.9915,0.9973,0.9925,0.9968,0.9957,0.9956,0.9947,0.9919,0.9977,0.9954,0.9914,0.9919,0.9919,0.9914,0.9916
AP,0.9461,0.9941,0.9938,0.9971,0.0000,0.7311,0.9667,0.9217,0.9811,0.9453,0.9279,0.8857,0.9071,0.9593,0.9613,0.9705,0.9879,0.9768,0.9970,0.9733,0.8457,0.9937,0.9177,0.8441,0.8460,0.9849,0.9842,0.9994,0.9743,0.8753,0.8616,0.9745,0.9596,0.8630,0.8292,0.9981,0.9022,0.8702,0.9903,0.8732,0.8658
AP90,0.9223,0.9949,0.9912,0.9950,0.7311,0.0000,0.9437,0.8682,0.9748,0.8977,0.8826,0.8804,0.8891,0.9234,0.9318,0.9561,0.9802,0.9720,0.9932,0.9494,0.8434,0.9897,0.8723,0.9187,0.7873,0.9897,0.9786,0.9988,0.9700,0.9278,0.9051,0.9668,0.9544,0.8690,0.8724,0.9975,0.8475,0.8760,0.9820,0.8778,0.8684
ARMH,0.6161,0.9883,0.9675,0.9778,0.9667,0.9437,0.0000,0.8245,0.9570,0.7645,0.8469,0.8973,0.8782,0.8389,0.9193,0.9755,0.9302,0.9131,0.9761,0.8596,0.8993,0.9555,0.8546,0.9682,0.9187,0.9976,0.9153,0.9914,0.9096,0.9638,0.9493,0.9612,0.9430,0.8922,0.9729,0.9795,0.8718,0.8962,0.9092,0.8855,0.8873
BEN,0.7908,0.9867,0.9793,0.9870,0.9217,0.8682,0.8245,0.0000,0.9485,0.6928,0.7461,0.7598,0.7345,0.8387,0.8882,0.9675,0.9427,0.9174,0.9775,0.8555,0.8090,0.9653,0.7295,0.9182,0.7672,0.9952,0.9323,0.9960,0.9179,0.9011,0.8592,0.9488,0.9258,0.8012,0.9720,0.9899,0.7315,0.8344,0.9320,0.8067,0.7903
BHS,0.9496,0.9920,0.9918,0.9955,0.9811,0.9748,0.9570,0.9485,0.0000,0.9552,0.9556,0.9548,0.9512,0.9557,0.9788,0.9891,0.9731,0.9634,0.9928,0.9688,0.9583,0.9845,0.9512,0.9681,0.9539,0.9928,0.9651,0.9960,0.9611,0.9627,0.9599,0.9485,0.9497,0.9578,0.9895,0.9965,0.9505,0.9592,0.9832,0.9573,0.9584
BOP,0.7753,0.9889,0.9718,0.9841,0.9453,0.8977,0.7645,0.6928,0.9552,0.0000,0.7390,0.8592,0.8295,0.7637,0.8791,0.9706,0.9296,0.9099,0.9664,0.7729,0.8806,0.9618,0.8021,0.9589,0.8764,0.9968,0.9222,0.9933,0.9123,0.9539,0.9352,0.9521,0.9440,0.8760,0.9729,0.9881,0.8281,0.8963,0.9255,0.8797,0.8629
BUR,0.7961,0.9895,0.9800,0.9883,0.9279,0.8826,0.8469,0.7461,0.9556,0.7390,0.0000,0.8502,0.8330,0.8692,0.9044,0.9670,0.9540,0.9366,0.9777,0.8860,0.8351,0.9745,0.8035,0.9302,0.7944,0.9945,0.9434,0.9962,0.9301,0.9204,0.8887,0.9536,0.9346,0.7795,0.9636,0.9911,0.8234,0.8224,0.9470,0.7759,0.7595
CAE,0.8641,0.9792,0.9872,0.9930,0.8857,0.8804,0.8973,0.7598,0.9548,0.8592,0.8502,0.0000,0.3284,0.8771,0.8416,0.9649,0.9598,0.9261,0.9894,0.8981,0.7888,0.9777,0.7044,0.8225,0.7718,0.9885,0.9446,0.9971,0.9296,0.7807,0.7485,0.9435,0.9211,0.7911,0.9781,0.9949,0.7596,0.8035,0.9466,0.7971,0.7945
CCS,0.8463,0.9793,0.9846,0.9920,0.9071,0.8891,0.8782,0.7345,0.9512,0.8295,0.8330,0.3284,0.0000,0.8471,0.8329,0.9689,0.9537,0.9215,0.9860,0.8781,0.8047,0.9741,0.6771,0.8686,0.7883,0.9917,0.9363,0.9965,0.9222,0.8223,0.7850,0.9445,0.9238,0.8084,0.9775,0.9940,0.7556,0.8175,0.9372,0.8128,0.8101
FRI,0.8493,0.9879,0.9725,0.9898,0.9593,0.9234,0.8389,0.8387,0.9557,0.7637,0.8692,0.8771,0.8471,0.0000,0.8797,0.9733,0.9388,0.9239,0.9750,0.7766,0.9180,0.9665,0.8431,0.9679,0.9116,0.9965,0.9306,0.9924,0.9243,0.9639,0.9510,0.9558,0.9539,0.9189,0.9825,0.9923,0.8462,0.9257,0.9246,0.9181,0.9151
GRA,0.9194,0.9949,0.9837,0.9943,0.9613,0.9318,0.9193,0.8882,0.9788,0.8791,0.9044,0.8416,0.8329,0.8797,0.0000,0.9627,0.9703,0.9533,0.9815,0.8484,0.9473,0.9823,0.8485,0.9501,0.8999,0.9952,0.9529,0.9969,0.9504,0.9369,0.9172,0.9652,0.9666,0.9478,0.9861,0.9964,0.9159,0.9285,0.8869,0.9491,0.9449
GST,0.9687,0.9979,0.9962,0.9959,0.9705,0.9561,0.9755,0.9675,0.9891,0.9706,0.9670,0.9649,0.9689,0.9733,0.9627,0.0000,0.9910,0.9888,0.9983,0.9766,0.9589,0.9954,0.9506,0.9706,0.9371,0.9609,0.9906,0.9999,0.9892,0.9709,0.9632,0.9630,0.9729,0.9559,0.9956,0.9985,0.9536,0.9483,0.9933,0.9534,0.9626
IEG,0.9332,0.9918,0.9861,0.9936,0.9879,0.9802,0.9302,0.9427,0.9731,0.9296,0.9540,0.9598,0.9537,0.9388,0.9703,0.9910,0.0000,0.9676,0.9859,0.9414,0.9648,0.9851,0.9480,0.9856,0.9687,0.9985,0.9679,0.9940,0.9615,0.9836,0.9786,0.9801,0.9742,0.9640,0.9908,0.9959,0.9547,0.9646,0.9676,0.9631,0.9639
INM,0.9083,0.9843,0.9763,0.9918,0.9768,0.9720,0.9131,0.9174,0.9634,0.9099,0.9366,0.9261,0.9215,0.9239,0.9533,0.9888,0.9676,0.0000,0.9917,0.9349,0.9437,0.8508,0.9256,0.9655,0.9534,0.9977,0.7485,0.9921,0.8676,0.9619,0.9494,0.9784,0.9718,0.9449,0.9872,0.9936,0.9254,0.9307,0.9473,0.9436,0.9439
