source,inheritor,containment,intersection,source_size,inheritor_size,source_year,inheritor_year,temporal_plausible
PWKVN,PW,0.9985,14973,14995,151349,n/a,1879,True
WIL,SHS,0.9525,41854,43939,46730,1832,1900,True
CCS,PW,0.9452,27176,28751,151349,1887,1879,False
BOP,MW,0.94,7995,8505,194084,1847,1899,True
CCS,CAE,0.9396,27014,28751,38484,1887,1891,True
PWG,PW,0.9375,99454,106083,151349,1855,1879,True
BEN,MW,0.9374,15969,17036,194084,1866,1899,True
LAN,MW,0.9293,4392,4726,194084,1884,1899,True
ARMH,MW,0.9285,6196,6673,194084,1861,1899,True
MD,MW,0.9271,18637,20103,194084,1893,1899,True
PWKVN,SCH,0.927,13901,14995,28455,n/a,1928,True
WIL,YAT,0.9264,40703,43939,44720,1832,1846,True
ABCH,MW,0.9246,10711,11584,194084,1896,1899,True
SNP,MW,0.9174,411,448,194084,1974,1899,False
CAE,MW,0.911,35059,38484,194084,1891,1899,True
YAT,WIL,0.9102,40703,44720,43939,1846,1832,False
CCS,MW,0.9004,25886,28751,194084,1887,1899,True
MW72,MW,0.8963,45855,51159,194084,1872,1899,True
SHS,WIL,0.8957,41854,46730,43939,1900,1832,False
YAT,SHS,0.8941,39984,44720,46730,1846,1900,True
PWG,MW,0.8934,94776,106083,194084,1855,1899,True
BEN,PWG,0.8919,15194,17036,106083,1866,1855,False
BEN,PW,0.8892,15148,17036,151349,1866,1879,True
CAE,PW,0.8873,34146,38484,151349,1891,1879,False
MD,PW,0.8872,17835,20103,151349,1893,1879,False
STC,MW,0.8813,21139,23986,194084,1932,1899,False
GRA,MW,0.8779,9752,11108,194084,1873,1899,True
GRA,PW,0.8683,9645,11108,151349,1873,1879,True
LAN,PW,0.8675,4100,4726,151349,1884,1879,False
ACSJ,MW,0.8565,543,634,194084,1896,1899,True
SHS,YAT,0.8556,39984,46730,44720,1900,1846,False
VEI,MW,0.8553,3168,3704,194084,1912,1899,False
PW,MW,0.8523,129002,151349,194084,1879,1899,True
