repo,contributors,total_contributions,bus_factor,top_login,top_share
DCS,1,29,1,gasyoun,1.0
KNA,1,14,1,gasyoun,1.0
KOW,1,16,1,gasyoun,1.0
MCI,1,31,1,gasyoun,1.0
csl-observatory,1,504,1,gasyoun,1.0
santamlegacy,1,3,1,gasyoun,1.0
cologne-stardict,2,528,1,drdhaval2785,0.9811
STC,2,33,1,gasyoun,0.9394
GreekInSanskrit,2,15,1,gasyoun,0.9333
ACC,2,26,1,gasyoun,0.9231
CCS,2,34,1,gasyoun,0.9118
cologne-hugo,2,10,1,gasyoun,0.9
KRM,2,39,1,gasyoun,0.8974
csl-westergaard,2,16,1,gasyoun,0.875
csl-json,2,106,1,drdhaval2785,0.8679
csl-app,2,207,1,drdhaval2785,0.8647
temp_corrections_acc,2,22,1,funderburkjim,0.8636
FRI,2,32,1,gasyoun,0.8438
VEI,3,38,1,gasyoun,0.8421
MW72,2,30,1,gasyoun,0.8333
csl-kale,2,18,1,gasyoun,0.8333
INM,2,39,1,gasyoun,0.8205
sanskrit-fonts,2,11,1,gasyoun,0.8182
PUI,2,90,1,drdhaval2785,0.8
csl-sqlite,2,10,1,gasyoun,0.8
temp_corrections_ae,2,15,1,funderburkjim,0.8
csl-devanagari,3,154,1,drdhaval2785,0.7922
csl-ldev,4,79,1,drdhaval2785,0.7848
LRV,3,156,1,drdhaval2785,0.7756
AMAR,2,22,1,gasyoun,0.7727
csl-lnum,3,66,1,drdhaval2785,0.7727
alternateheadwords,3,127,1,drdhaval2785,0.7323
ArabicInSanskrit,2,11,1,gasyoun,0.7273
BOR,2,42,1,gasyoun,0.7143
csl-inflect,2,84,1,funderburkjim,0.7143
csl-whitroot,2,14,1,gasyoun,0.7143
MWinflect,2,116,1,funderburkjim,0.7069
SCH,2,55,1,gasyoun,0.6909
CORRECTIONS,4,700,1,funderburkjim,0.6886
avlinks,2,22,1,gasyoun,0.6818
ApteES,2,64,1,gasyoun,0.6719
BEN,4,164,1,drdhaval2785,0.6646
literarysource,2,38,1,drdhaval2785,0.6579
PWK,5,306,1,funderburkjim,0.6569
PWG,3,469,1,funderburkjim,0.6461
SHS,3,45,1,gasyoun,0.6444
CAE,4,53,1,gasyoun,0.6415
csl-websanlexicon,4,563,1,funderburkjim,0.6412
csl-apidev,3,653,1,funderburkjim,0.6325
Wil-YAT,2,16,1,gasyoun,0.625
SKD,3,78,1,funderburkjim,0.6154
BHS,3,64,1,gasyoun,0.6094
BOP,4,61,1,gasyoun,0.6066
test_cologne_push,2,5,1,gasyoun,0.6
temp_corrections_ap90,3,24,1,funderburkjim,0.5833
csl-pywork,4,553,1,funderburkjim,0.5787
BUR,3,52,1,gasyoun,0.5769
rvlinks,3,25,1,gasyoun,0.56
csl-orig,8,2233,1,funderburkjim,0.5504
temp_corrections_mw,2,13,1,gasyoun,0.5385
csl-lslink,3,30,1,gasyoun,0.5333
csl-doc,3,51,1,funderburkjim,0.5294
GRA,2,94,1,gasyoun,0.5106
AP90,3,75,1,funderburkjim,0.5067
AP,3,165,2,drdhaval2785,0.497
csl-newsletter,3,65,2,drdhaval2785,0.4923
hwnorm1,3,181,2,funderburkjim,0.4917
COLOGNE,4,223,2,drdhaval2785,0.4843
csl-homepage,3,84,2,funderburkjim,0.4762
hwnorm2,3,33,2,funderburkjim,0.4545
MWS,5,553,2,gasyoun,0.4412
VCP,3,151,2,drdhaval2785,0.4371
csl-corrections,3,865,2,funderburkjim,0.4358
mw-dev,4,62,2,gasyoun,0.3871
MD,3,105,2,gasyoun,0.3619
sanskrit-lexicon.github.io,3,59,2,gasyoun,0.3559
WIL,3,99,2,funderburkjim,0.3535
