dict,level,records,distinct_keys,colliding_records,collision_rate,mean_cluster
abch,exact,0,0,0,,0.0
abch,clean,0,0,0,,0.0
abch,repair,0,0,0,,0.0
abch,form_key,0,0,0,,0.0
abch,norm,0,0,0,,0.0
acc,exact,49833,32584,0,0.0,1.0
acc,clean,49833,32584,0,0.0,1.0
acc,repair,49833,32584,0,0.0,1.0
acc,form_key,49833,32554,60,0.001204,1.0009
acc,norm,49833,32316,536,0.010756,1.0083
acph,exact,0,0,0,,0.0
acph,clean,0,0,0,,0.0
acph,repair,0,0,0,,0.0
acph,form_key,0,0,0,,0.0
acph,norm,0,0,0,,0.0
acsj,exact,0,0,0,,0.0
acsj,clean,0,0,0,,0.0
acsj,repair,0,0,0,,0.0
acsj,form_key,0,0,0,,0.0
acsj,norm,0,0,0,,0.0
ae,exact,11359,11343,0,0.0,1.0
ae,clean,11359,11343,0,0.0,1.0
ae,repair,11359,11343,0,0.0,1.0
ae,form_key,11359,11343,0,0.0,1.0
ae,norm,11359,11210,261,0.022977,1.0119
ap,exact,90843,88869,0,0.0,1.0
ap,clean,90843,88869,0,0.0,1.0
ap,repair,90843,88869,0,0.0,1.0
ap,form_key,90843,84873,7972,0.087756,1.0471
ap,norm,90843,82914,11097,0.122156,1.0718
ap90,exact,34882,34277,0,0.0,1.0
ap90,clean,34882,34277,0,0.0,1.0
ap90,repair,34882,34277,0,0.0,1.0
ap90,form_key,34882,33973,604,0.017316,1.0089
ap90,norm,34882,31355,5438,0.155897,1.0932
armh,exact,7907,6673,0,0.0,1.0
armh,clean,7907,6673,0,0.0,1.0
armh,repair,7907,6673,0,0.0,1.0
armh,form_key,7907,6670,6,0.000759,1.0004
armh,norm,7907,6375,567,0.071709,1.0467
ben,exact,17310,17035,0,0.0,1.0
ben,clean,17310,17035,0,0.0,1.0
ben,repair,17310,17035,0,0.0,1.0
ben,form_key,17310,17010,50,0.002889,1.0015
ben,norm,17310,15732,2442,0.141075,1.0828
bhs,exact,17839,17777,0,0.0,1.0
bhs,clean,17839,17777,0,0.0,1.0
bhs,repair,17839,17777,0,0.0,1.0
bhs,form_key,17839,17749,56,0.003139,1.0016
bhs,norm,17839,16772,1911,0.107125,1.0599
bop,exact,8961,8505,0,0.0,1.0
bop,clean,8961,8505,0,0.0,1.0
bop,repair,8961,8505,0,0.0,1.0
