created_at,closed_at,labels
2026-06-09T02:28:59Z,,daily-corrections
2026-06-08T02:51:28Z,,daily-corrections
2026-06-07T02:48:30Z,,daily-corrections
2026-06-06T02:29:45Z,,daily-corrections
2026-06-05T02:42:23Z,,daily-corrections
2026-06-04T02:54:35Z,2026-06-06T08:00:10Z,daily-corrections
2026-06-03T11:46:36Z,2026-06-03T11:50:10Z,bug;minor
2026-06-03T02:59:25Z,2026-06-03T06:37:33Z,daily-corrections
2026-06-02T02:50:45Z,2026-06-02T12:31:12Z,daily-corrections
2026-06-01T02:53:41Z,2026-06-02T12:25:44Z,daily-corrections
2026-05-31T02:44:47Z,2026-06-02T12:16:30Z,daily-corrections
2026-05-30T02:28:06Z,2026-06-01T15:50:59Z,daily-corrections
2026-05-29T02:34:14Z,2026-06-01T15:33:13Z,daily-corrections
2026-05-28T14:55:46Z,2026-06-02T12:32:29Z,question;trivial
2026-05-28T02:29:45Z,2026-06-01T12:57:53Z,daily-corrections
2026-05-27T02:42:56Z,2026-06-01T12:47:07Z,daily-corrections
2026-05-26T02:33:09Z,2026-06-01T10:52:18Z,daily-corrections
2026-05-25T02:43:44Z,2026-05-31T04:56:57Z,daily-corrections
2026-05-24T02:34:59Z,2026-05-31T04:06:53Z,daily-corrections
2026-05-23T02:25:21Z,2026-05-31T03:57:28Z,daily-corrections
2026-05-22T08:41:36Z,2026-05-22T11:48:22Z,
2026-05-22T02:39:55Z,2026-06-01T11:07:46Z,daily-corrections
2026-05-21T19:02:31Z,2026-05-21T19:04:51Z,
2026-05-21T02:38:37Z,2026-05-30T11:01:57Z,daily-corrections
2026-05-20T08:44:05Z,2026-05-31T01:23:08Z,
2026-05-20T02:36:48Z,2026-05-29T16:19:53Z,daily-corrections
2026-05-19T02:36:24Z,2026-05-29T12:57:55Z,daily-corrections
2026-05-18T02:37:55Z,2026-05-28T14:28:55Z,daily-corrections
2026-05-17T02:27:38Z,2026-05-28T14:28:53Z,daily-corrections
2026-05-16T12:13:35Z,,enhancement;minor
2026-05-13T05:30:06Z,2026-06-03T07:03:43Z,enhancement;content-enhancement;minor;medium
2026-05-11T02:29:46Z,2026-05-13T12:58:24Z,bug;daily-corrections;text-correction;minor;medium
2026-05-10T16:58:04Z,2026-05-10T19:14:31Z,bug;minor
2026-05-10T02:11:30Z,2026-05-11T09:01:41Z,enhancement;daily-corrections;text-correction;minor;medium
2026-05-09T19:13:03Z,2026-05-10T07:49:31Z,bug;minor
2026-05-09T08:36:49Z,,doc;enhancement;text-correction;minor;medium
2026-05-09T02:09:56Z,2026-05-13T10:47:50Z,enhancement;daily-corrections;text-correction;minor;medium
2026-05-08T02:25:18Z,2026-05-13T10:16:40Z,bug;daily-corrections;text-correction;minor;medium
2026-05-07T02:08:33Z,2026-05-13T05:31:35Z,enhancement;daily-corrections;text-correction;minor;medium
2026-05-06T02:06:37Z,2026-05-11T08:58:39Z,enhancement;daily-corrections;text-correction;minor;medium
2026-05-05T03:57:22Z,2026-06-03T06:46:48Z,question;minor
2026-05-05T02:06:35Z,2026-05-05T03:32:46Z,enhancement;daily-corrections;text-correction;minor;medium
2026-05-04T02:07:58Z,2026-05-05T02:48:31Z,enhancement;daily-corrections;text-correction;minor;medium
2026-05-03T02:08:23Z,2026-05-03T07:11:02Z,enhancement;daily-corrections;text-correction;minor;medium
2026-05-02T05:49:27Z,2026-05-13T18:55:25Z,help wanted;question;minor
2026-05-02T02:03:06Z,2026-05-02T14:27:42Z,enhancement;daily-corrections;text-correction;minor;medium
2026-05-01T21:56:16Z,2026-05-02T14:39:50Z,doc;content-enhancement;minor;documentation;trivial
2026-05-01T14:19:33Z,2026-05-01T14:36:08Z,bug;help wanted;text-correction;minor
2026-05-01T02:25:50Z,2026-05-01T14:08:50Z,enhancement;daily-corrections;text-correction;minor;medium
2026-04-30T16:16:05Z,2026-05-01T14:36:35Z,doc;question;minor
2026-04-30T04:48:31Z,2026-04-30T16:03:51Z,bug;minor
2026-04-30T04:32:10Z,2026-05-05T04:02:22Z,enhancement;markup;minor
2026-04-30T03:52:32Z,2026-04-30T04:03:23Z,enhancement;text-correction;minor
2026-04-30T03:35:49Z,2026-04-30T03:38:46Z,bug;minor
2026-04-30T02:19:50Z,2026-04-30T15:23:37Z,bug;minor
2026-04-30T02:12:13Z,2026-04-30T04:57:18Z,enhancement;daily-corrections;text-correction;minor;medium
2026-04-29T02:11:55Z,2026-04-30T04:21:04Z,enhancement;daily-corrections;text-correction;minor;medium
2026-04-28T16:19:51Z,2026-04-30T02:59:39Z,bug;help wanted;minor
2026-04-28T09:30:17Z,2026-05-03T01:30:46Z,encoding;minor;documentation;trivial
2026-04-28T02:10:55Z,2026-04-30T02:50:59Z,enhancement;daily-corrections;text-correction;minor;medium
2026-04-27T06:27:14Z,2026-04-27T06:44:06Z,bug;minor
2026-04-27T04:10:51Z,2026-05-03T05:50:44Z,bug;text-correction;minor
2026-04-27T02:04:25Z,2026-04-27T04:19:00Z,bug;daily-corrections;text-correction;minor;medium
2026-04-26T12:06:15Z,2026-05-01T15:22:11Z,enhancement;deferred;markup;minor;medium
2026-04-26T08:16:02Z,2026-04-28T12:03:47Z,bug;help wanted;minor
2026-04-26T08:14:23Z,2026-04-27T09:11:22Z,enhancement;markup;minor
2026-04-26T05:22:59Z,2026-04-26T08:31:30Z,question;minor
2026-04-26T02:01:31Z,2026-04-26T04:25:27Z,enhancement;daily-corrections;text-correction;minor;medium
2026-04-25T16:13:35Z,2026-05-13T19:04:00Z,enhancement;encoding;minor
2026-04-25T15:14:37Z,2026-04-28T09:33:03Z,enhancement;encoding;minor
2026-04-25T11:29:49Z,2026-05-02T14:35:42Z,enhancement;text-correction;minor;medium
2026-04-25T10:37:13Z,2026-05-01T15:15:44Z,bug;text-correction;minor
2026-04-25T08:49:00Z,2026-04-25T10:21:20Z,enhancement;link-target;medium
2026-04-25T06:36:28Z,2026-04-25T16:17:18Z,bug;help wanted;text-correction;minor
2026-04-25T01:48:42Z,2026-04-25T11:42:10Z,enhancement;daily-corrections;text-correction;minor;medium
2026-04-24T01:58:27Z,2026-04-25T09:06:48Z,enhancement;daily-corrections;text-correction;minor;medium
2026-04-23T01:58:38Z,2026-04-25T08:34:05Z,bug;daily-corrections;text-correction;minor;medium
2026-04-22T01:54:12Z,2026-04-25T07:36:21Z,enhancement;daily-corrections;text-correction;minor;medium
2026-04-21T01:55:26Z,2026-04-25T07:01:08Z,daily-corrections;text-correction;medium;documentation;trivial
2026-04-20T15:42:03Z,2026-04-20T16:36:08Z,help wanted;question;text-correction;minor;trivial
2026-04-20T01:59:56Z,2026-04-25T06:33:13Z,enhancement;daily-corrections;text-correction;minor;medium
2026-04-19T13:49:12Z,2026-04-26T08:34:24Z,enhancement;text-correction;minor
2026-04-19T13:46:32Z,2026-04-26T08:35:23Z,enhancement;text-correction;minor
2026-04-19T13:19:27Z,2026-04-26T11:42:32Z,help wanted;question;text-correction;minor;trivial
2026-04-19T12:34:27Z,2026-04-26T11:56:09Z,bug;text-correction;minor
2026-04-19T01:58:53Z,2026-04-25T05:56:23Z,enhancement;daily-corrections;text-correction;minor;medium
2026-04-18T10:15:12Z,2026-04-25T12:19:02Z,bug;help wanted;text-correction;minor
2026-04-18T07:51:34Z,2026-05-02T15:23:34Z,deferred;text-correction;minor;tech-debt
2026-04-18T07:14:50Z,2026-04-18T12:03:49Z,enhancement;help wanted;text-correction;minor
2026-04-18T01:46:28Z,2026-04-18T11:02:05Z,enhancement;daily-corrections;text-correction;minor;medium
2026-04-17T01:54:38Z,2026-04-18T10:00:46Z,enhancement;daily-corrections;text-correction;minor;medium
2026-04-16T01:58:46Z,2026-04-18T09:17:14Z,daily-corrections;text-correction;medium;documentation;trivial
2026-04-15T01:50:39Z,2026-04-18T07:17:37Z,enhancement;daily-corrections;text-correction;minor;medium
2026-04-14T07:00:37Z,2026-04-18T11:40:11Z,question;minor
2026-04-14T01:54:09Z,2026-04-14T06:56:54Z,enhancement;daily-corrections;text-correction;minor;medium
2026-04-13T01:59:26Z,2026-04-14T06:41:52Z,enhancement;daily-corrections;text-correction;minor;medium
2026-04-12T01:54:27Z,2026-04-14T06:38:56Z,enhancement;daily-corrections;text-correction;minor;medium
2026-04-11T08:19:58Z,2026-05-01T22:57:04Z,deferred;markup;minor;documentation;trivial
2026-04-11T07:13:40Z,2026-04-11T07:20:05Z,enhancement;text-correction;minor
2026-04-11T06:55:53Z,2026-05-02T15:16:20Z,bug;deferred;text-correction;minor
2026-04-11T01:29:41Z,2026-04-11T07:10:29Z,enhancement;daily-corrections;text-correction;minor;medium
