dict,commits,correctors,lead,lead_share,spof
mw,545,7,funderburkjim,0.6569,False
pwg,253,3,funderburkjim,0.6403,False
ap,209,3,drdhaval2785,0.7895,False
ap90,151,4,funderburkjim,0.6755,False
pw,150,3,funderburkjim,0.7867,False
shs,130,3,drdhaval2785,0.7846,False
ben,99,3,drdhaval2785,0.6566,False
vcp,88,3,drdhaval2785,0.4886,False
bur,80,3,funderburkjim,0.6875,False
skd,70,4,funderburkjim,0.5,False
lrv,59,2,drdhaval2785,0.8475,True
gra,59,3,funderburkjim,0.7797,False
sch,57,3,funderburkjim,0.8947,True
stc,51,2,funderburkjim,0.6275,False
wil,49,3,drdhaval2785,0.4694,False
md,39,2,funderburkjim,0.8974,True
inm,34,3,funderburkjim,0.7059,False
mwe,34,2,drdhaval2785,0.5,False
pwkvn,33,2,funderburkjim,0.7576,False
ccs,33,2,funderburkjim,0.6364,False
mw72,32,4,drdhaval2785,0.7188,False
ae,32,2,funderburkjim,0.5938,False
yat,27,2,drdhaval2785,0.6667,False
krm,22,3,drdhaval2785,0.3636,False
ieg,22,2,drdhaval2785,0.7727,False
bor,22,3,drdhaval2785,0.5909,False
pui,21,3,funderburkjim,0.5238,False
acc,20,2,drdhaval2785,0.65,False
lan,20,2,funderburkjim,0.65,False
gst,20,2,drdhaval2785,0.6,False
etymology_stats,19,1,gasyoun,1.0,True
pe,19,3,drdhaval2785,0.4737,False
bop,19,3,funderburkjim,0.7368,False
bhs,19,2,funderburkjim,0.6842,False
cae,18,2,funderburkjim,0.5556,False
vei,15,2,funderburkjim,0.6,False
pgn,13,2,drdhaval2785,0.6923,False
mci,13,2,funderburkjim,0.6154,False
snp,9,2,funderburkjim,0.6667,False
fri,8,2,drdhaval2785,0.625,False
abch,3,2,drdhaval2785,0.6667,False
armh,3,1,drdhaval2785,1.0,True
nmmb,2,1,drdhaval2785,1.0,True
fri.txt,2,1,funderburkjim,1.0,True
.DS_Store,2,1,aumsanskrit,1.0,True
acph,2,1,drdhaval2785,1.0,True
acsj,2,1,drdhaval2785,1.0,True
md.txt,2,1,funderburkjim,1.0,True
