component,layer,dict,count
orthography,form,pw,9978
sense,git,mw,4360
citation,git,pwg,2140
headword,form,ccs,1496
markup,git,mw,1494
sense,git,ap90,1299
sense,git,pw,1212
sense,git,bur,897
markup,git,pwg,787
headword,form,cae,768
encoding,form,pd,765
orthography,form,ccs,722
headword,form,wil,688
sense,git,pwg,642
orthography,form,pd,610
headword,form,pw,607
orthography,git,md,588
sense,git,ben,560
headword,form,mw,540
encoding,form,pw,501
sense,git,md,498
sense,git,ap,485
orthography,form,cae,474
orthography,git,ap90,466
citation,git,pw,463
orthography,git,shs,448
orthography,form,ap,438
orthography,form,wil,431
orthography,git,ap,401
orthography,form,mw,390
headword,form,pui,387
citation,git,mw,381
citation,form,pw,328
sense,git,gra,320
sense,git,cae,319
orthography,form,ap90,311
headword,form,bur,305
meta,git,mw,303
sense,git,vcp,302
markup,git,sch,295
headword,git,mw,294
orthography,form,bur,280
sense,git,bor,272
orthography,form,ben,271
orthography,git,acc,266
orthography,form,pui,257
orthography,git,yat,243
sense,form,mw,238
headword,form,vcp,232
markup,form,pw,230
headword,form,skd,216
sense,git,ae,210
headword,git,ap,207
orthography,git,skd,200
orthography,git,vcp,197
sense,git,bop,192
markup,git,pwkvn,191
grammar,git,mw,188
meta,git,lrv,179
sense,git,mci,175
headword,form,gra,170
headword,form,ben,163
orthography,form,vcp,159
sense,git,stc,159
orthography,git,bur,156
markup,git,bhs,146
headword,git,ap90,144
markup,git,gst,143
orthography,git,mw72,143
markup,git,ap90,128
orthography,git,pui,128
meta,git,ben,128
sense,form,pw,124
markup,form,mw,117
citation,git,ap,116
orthography,git,lrv,113
markup,git,vei,109
markup,git,inm,109
headword,form,yat,107
orthography,git,pw,107
orthography,form,skd,106
markup,git,lan,106
orthography,git,bop,102
orthography,form,yat,101
sense,git,abch,101
orthography,form,acc,100
sense,git,inm,99
orthography,git,ieg,95
sense,git,yat,89
citation,git,sch,87
sense,git,bhs,86
orthography,git,bhs,83
orthography,form,shs,81
headword,form,shs,80
sense,git,lrv,80
orthography,git,cae,77
sense,form,gra,75
markup,git,pw,74
sense,git,lan,73
headword,form,mw72,72
sense,git,ieg,72
meta,git,md,72
markup,git,ap,72
orthography,form,apes,70
orthography,form,pwg,70
headword,form,pwg,69
sense,git,vei,67
orthography,git,ae,67
sense,git,mwe,65
headword,form,ap90,64
sense,git,pgn,64
headword,git,shs,62
orthography,form,gra,59
sense,git,gst,59
grammar,git,ap,59
markup,form,bur,58
orthography,git,gst,57
headword,form,acc,55
headword,git,pui,55
sense,form,cae,54
sense,git,mw72,54
markup,git,bur,54
orthography,git,wil,54
meta,git,fri,54
headword,form,ap,53
markup,git,pui,53
orthography,form,inm,48
orthography,git,ccs,48
sense,git,pui,47
headword,form,mwe,46
orthography,form,mw72,41
markup,git,krm,41
meta,git,ap,41
orthography,form,sch,40
sense,form,bur,39
orthography,git,pwg,39
markup,form,gra,38
grammar,form,mw,37
unknown,form,gra,37
orthography,form,pwg2013,36
sense,git,acc,36
sense,form,ap90,35
markup,git,mw72,35
orthography,form,ieg,34
headword,git,fri,34
orthography,git,ben,33
headword,git,lrv,33
markup,git,ben,32
headword,form,sch,31
unknown,form,mw,30
orthography,git,pe,30
meta,form,mw,28
orthography,git,sch,28
encoding,form,ben,27
headword,form,stc,26
orthography,git,stc,26
markup,git,bop,25
orthography,form,stc,24
sense,form,stc,24
orthography,form,pe,24
orthography,git,mwe,23
sense,git,krm,22
citation,git,pwkvn,22
headword,form,inm,20
sense,git,skd,20
sense,git,pwkvn,20
markup,git,ieg,19
orthography,form,vei,18
headword,git,lan,18
headword,git,mw72,18
headword,form,vei,17
headword,git,vcp,17
citation,git,ap90,17
headword,form,bop,15
orthography,form,bop,15
headword,git,pw,15
citation,form,mw,14
headword,git,skd,14
orthography,git,mw,14
orthography,git,pgn,14
headword,form,pe,13
headword,git,pe,13
orthography,git,lan,13
sense,form,wil,12
sense,git,wil,12
headword,git,yat,11
orthography,git,inm,11
orthography,git,abch,11
sense,form,ae,10
encoding,form,bur,10
headword,git,sch,10
headword,form,bhs,9
encoding,form,pwg2013,9
sense,form,pwg,9
headword,form,ieg,8
orthography,git,mci,8
orthography,form,ae,7
headword,form,mci,7
orthography,form,mwe,7
orthography,form,bhs,7
headword,git,pwg,7
sense,git,ccs,7
citation,git,bhs,7
markup,git,abch,7
grammar,form,pw,6
markup,form,ccs,6
headword,git,ccs,6
markup,git,ae,6
sense,form,vei,5
orthography,form,md,5
orthography,form,krm,5
headword,git,krm,5
headword,git,ben,5
headword,git,bor,5
sense,git,sch,5
meta,git,ap90,5
orthography,form,bor,4
encoding,form,ccs,4
headword,form,md,4
headword,form,krm,4
markup,git,gra,4
headword,git,gra,4
unknown,form,ap90,3
headword,form,bor,3
sense,form,ap,3
unknown,form,inm,3
orthography,form,mci,3
unknown,form,mw72,3
encoding,form,mw,3
sense,form,md,3
headword,form,gst,3
headword,git,cae,3
sense,git,pe,3
headword,git,mwe,3
headword,git,ieg,3
markup,git,pe,3
orthography,git,vei,3
headword,git,bur,3
meta,git,pwkvn,3
orthography,git,bor,3
headword,git,wil,3
markup,git,lrv,3
orthography,git,fri,3
unknown,form,apes,2
unknown,form,pwg2013,2
unknown,form,pw,2
markup,form,pwg2013,2
markup,form,skd,2
encoding,form,cae,2
unknown,form,bhs,2
sense,form,inm,2
sense,form,ben,2
orthography,form,gst,2
headword,form,ae,2
meta,form,ap90,2
citation,form,pwg,2
unknown,form,mwe,2
unknown,form,stc,2
sense,git,snp,2
markup,git,skd,2
markup,git,cae,2
orthography,git,gra,2
headword,git,bhs,2
meta,git,pw,2
grammar,git,pw,2
meta,git,pwg,2
headword,git,mci,2
headword,git,acc,2
sense,git,fri,2
grammar,git,wil,2
citation,form,pwg2013,1
unknown,form,skd,1
sense,form,sch,1
unknown,form,vei,1
unknown,form,ccs,1
sense,form,bhs,1
encoding,form,gst,1
markup,form,vcp,1
encoding,form,md,1
markup,form,sch,1
unknown,form,ap,1
citation,form,gra,1
encoding,form,ieg,1
encoding,form,vei,1
unknown,form,wil,1
unknown,form,bur,1
unknown,form,vcp,1
sense,form,gst,1
meta,form,wil,1
sense,git,shs,1
markup,git,stc,1
headword,git,ae,1
meta,git,shs,1
headword,git,inm,1
markup,git,vcp,1
headword,git,vei,1
headword,git,pwkvn,1
markup,git,bor,1
markup,git,shs,1
meta,git,ae,1
citation,git,lrv,1
markup,git,wil,1
orthography,git,krm,1
