scheme,label,layer,count
errant,M:PUNCTUATION,git,6155
errant,U:PUNCTUATION,git,4360
errant,R:CASE,form,3836
errant,R:CONSONANT,form,3224
errant,M:DIACRITIC,form,2857
errant,M:CONSONANT,git,2703
errant,M:CONSONANT,form,2584
errant,R:CONSONANT,git,2416
errant,U:CONSONANT,form,1757
errant,U:CONSONANT,git,1643
errant,U:PUNCTUATION,form,1634
errant,R:VOWEL,git,1297
errant,R:PUNCTUATION,form,1161
errant,R:DIGIT,git,967
errant,U:DIACRITIC,form,943
errant,M:VOWEL,form,943
errant,M:DIGIT,form,819
errant,U:WHITESPACE,git,776
errant,R:PUNCTUATION,git,755
errant,R:VOWEL,form,744
errant,U:VOWEL,form,744
errant,M:WHITESPACE,git,743
errant,R:DIACRITIC,git,724
errant,R:CASE,git,626
errant,U:WHITESPACE,form,603
errant,none,form,590
errant,M:VOWEL,git,538
errant,M:PUNCTUATION,form,520
errant,U:VOWEL,git,501
errant,U:DIGIT,form,498
errant,M:DIACRITIC,git,465
errant,R:DIACRITIC,form,342
errant,none,git,298
errant,M:LATIN,git,266
errant,R:TRANSP-PUNCTUATION,git,235
errant,M:WHITESPACE,form,220
errant,U:DIACRITIC,git,195
errant,R:DIGIT,form,184
errant,R:LATIN,git,172
errant,M:DIGIT,git,170
errant,R:TRANSP-CONSONANT,form,159
errant,R:TRANSP-VOWEL,git,126
errant,U:DIGIT,git,123
errant,R:TRANSP-CONSONANT,git,101
errant,R:WHITESPACE,git,85
errant,U:LATIN,git,40
errant,R:TRANSP-PUNCTUATION,form,39
errant,M:LATIN,form,17
errant,R:TRANSP-VOWEL,form,11
errant,U:OTHER,git,11
errant,R:OTHER,git,7
errant,R:TRANSP-DIACRITIC,form,5
errant,M:OTHER,git,5
errant,R:WHITESPACE,form,4
errant,R:TRANSP-DIGIT,form,3
errant,R:TRANSP-WHITESPACE,git,3
errant,R:TRANSP-DIACRITIC,git,2
errant,R:TRANSP-LATIN,git,2
errant,R:TRANSP-CASE,git,1
errant,R:TRANSP-DIGIT,git,1
ocr,substitution,form,9279
ocr,segmentation,git,7636
ocr,insertion,form,7145
ocr,substitution,git,6664
ocr,insertion,git,5976
ocr,deletion,git,5455
ocr,deletion,form,5087
ocr,segmentation,form,2114
ocr,unknown,form,590
ocr,transposition,git,483
ocr,unknown,git,298
ocr,transposition,form,226
textcrit,addition,git,10898
textcrit,substitution,form,9487
textcrit,addition,form,7905
textcrit,omission,git,7246
textcrit,substitution,git,7039
textcrit,omission,form,6074
textcrit,unknown,form,590
textcrit,metathesis,git,495
textcrit,haplography,git,395
textcrit,unknown,git,298
textcrit,metathesis,form,239
textcrit,dittography,git,141
textcrit,haplography,form,94
textcrit,dittography,form,52
