year,layer,component,count
2014,form,grammar,4
2014,form,headword,819
2014,form,meta,3
2014,form,sense,103
2014,form,unattributed,1159
2015,form,citation,74
2015,form,grammar,21
2015,form,headword,1783
2015,form,meta,11
2015,form,sense,128
2015,form,unattributed,7437
2016,form,citation,23
2016,form,grammar,7
2016,form,headword,2151
2016,form,meta,4
2016,form,sense,146
2016,form,unattributed,9733
2017,form,grammar,5
2017,form,headword,113
2017,form,meta,3
2017,form,sense,84
2017,form,unattributed,235
2018,form,citation,7
2018,form,grammar,5
2018,form,headword,35
2018,form,meta,5
2018,form,sense,93
2018,form,unattributed,116
2019,form,grammar,1
2019,form,headword,28
2019,form,meta,5
2019,form,sense,37
2019,form,unattributed,63
2019,git,headword,4
2019,git,markup,41
2019,git,meta,1
2019,git,sense,11
2020,git,citation,8
2020,git,grammar,1
2020,git,headword,41
2020,git,markup,73
2020,git,meta,49
2020,git,sense,2081
2021,git,citation,78
2021,git,headword,62
2021,git,markup,824
2021,git,meta,134
2021,git,sense,4189
2022,git,citation,363
2022,git,headword,31
2022,git,markup,424
2022,git,meta,76
2022,git,sense,1599
2023,git,citation,13
2023,git,grammar,3
2023,git,headword,67
2023,git,markup,551
2023,git,meta,10
2023,git,sense,2350
2024,git,citation,131
2024,git,grammar,169
2024,git,headword,143
2024,git,markup,1668
2024,git,meta,87
2024,git,sense,3046
2025,git,citation,2544
2025,git,grammar,12
2025,git,headword,112
2025,git,markup,1595
2025,git,meta,114
2025,git,sense,1015
2026,git,citation,94
2026,git,grammar,65
2026,git,headword,434
2026,git,markup,726
2026,git,meta,122
2026,git,sense,2896
