ym,component,count
2014-03,headword,2
2014-03,orthography,38
2014-04,citation,1
2014-04,headword,5
2014-04,orthography,8
2014-04,unknown,1
2014-05,headword,4
2014-05,orthography,4
2014-06,orthography,7
2014-06,unknown,2
2014-07,headword,6
2014-07,markup,2
2014-07,orthography,12
2014-08,headword,4
2014-08,orthography,10
2014-08,sense,1
2014-09,headword,48
2014-09,meta,1
2014-09,orthography,89
2014-09,sense,9
2014-09,unknown,21
2014-10,encoding,1
2014-10,headword,36
2014-10,markup,29
2014-10,meta,1
2014-10,orthography,226
2014-10,sense,46
2014-10,unknown,9
2014-11,encoding,28
2014-11,grammar,1
2014-11,headword,176
2014-11,markup,20
2014-11,orthography,510
2014-11,sense,1
2014-12,headword,144
2014-12,markup,12
2014-12,orthography,564
2014-12,sense,7
2014-12,unknown,2
2015-01,headword,404
2015-01,markup,107
2015-01,meta,2
2015-01,orthography,902
2015-01,sense,12
2015-01,unknown,6
2015-02,headword,16
2015-02,markup,1
2015-02,meta,1
2015-02,orthography,52
2015-02,sense,1
2015-02,unknown,3
2015-03,headword,159
2015-03,orthography,306
2015-03,sense,4
2015-03,unknown,1
2015-04,grammar,1
2015-04,headword,5
2015-04,orthography,30
2015-04,sense,4
2015-04,unknown,2
2015-05,headword,157
2015-05,markup,5
2015-05,orthography,617
2015-05,sense,4
2015-05,unknown,2
2015-06,grammar,1
2015-06,headword,3
2015-06,markup,1
2015-06,orthography,8
2015-06,sense,4
2015-07,grammar,2
2015-07,headword,6
2015-07,meta,1
2015-07,orthography,7
2015-07,sense,2
2015-07,unknown,1
2015-08,grammar,1
2015-08,headword,2
2015-08,meta,1
2015-08,orthography,8
2015-08,sense,5
2015-08,unknown,1
2015-09,citation,2
2015-09,encoding,1
2015-09,headword,15
2015-09,markup,16
2015-09,meta,1
2015-09,orthography,53
2015-09,sense,5
2015-09,unknown,7
2015-10,grammar,1
2015-10,headword,10
2015-10,markup,3
2015-10,orthography,30
2015-10,unknown,2
2015-11,citation,35
2015-11,encoding,1
2015-11,headword,44
2015-11,markup,3
2015-11,orthography,679
2015-11,sense,15
2015-12,citation,163
2015-12,encoding,493
2015-12,grammar,1
2015-12,headword,60
2015-12,markup,25
2015-12,orthography,4925
2015-12,sense,4
2015-12,unknown,2
2016-01,citation,91
2016-01,encoding,4
2016-01,grammar,3
2016-01,headword,40
2016-01,markup,228
2016-01,orthography,5771
2016-01,sense,13
2016-01,unknown,2
2016-02,encoding,1
2016-02,grammar,1
2016-02,headword,85
2016-02,markup,11
2016-02,orthography,101
2016-02,unknown,1
2016-03,headword,25
2016-03,orthography,146
2016-03,sense,5
2016-03,unknown,8
2016-04,encoding,765
2016-04,headword,757
2016-04,markup,2
2016-04,meta,1
2016-04,orthography,2230
2016-04,sense,80
2016-04,unknown,4
2016-05,encoding,30
2016-05,grammar,2
2016-05,headword,137
2016-05,orthography,624
2016-05,sense,11
2016-05,unknown,9
2016-06,citation,1
2016-06,encoding,12
2016-06,headword,155
2016-06,markup,74
2016-06,orthography,436
2016-06,sense,8
2016-06,unknown,2
2016-07,headword,7
2016-07,meta,1
2016-07,orthography,37
2016-07,sense,5
2016-07,unknown,2
2016-08,headword,5
2016-08,markup,3
2016-08,orthography,26
2016-08,sense,7
2016-08,unknown,9
2016-09,headword,5
2016-09,markup,2
2016-09,orthography,5
2016-09,sense,2
2016-09,unknown,1
2016-10,citation,1
2016-10,headword,3
2016-10,meta,1
2016-10,orthography,15
2016-10,sense,6
2016-10,unknown,1
2016-11,headword,4
2016-11,meta,1
2016-11,orthography,5
2016-11,sense,5
2016-11,unknown,1
2016-12,headword,5
2016-12,markup,6
2016-12,orthography,14
2016-12,sense,3
2017-01,headword,3
2017-01,markup,3
2017-01,orthography,9
2017-01,sense,5
2017-02,grammar,1
2017-02,headword,1
2017-02,markup,2
2017-02,orthography,11
2017-02,sense,5
2017-02,unknown,3
2017-03,headword,3
2017-03,orthography,20
2017-03,sense,4
2017-04,headword,3
2017-04,markup,3
2017-04,orthography,1
2017-04,sense,5
2017-04,unknown,1
2017-05,headword,1
2017-05,markup,1
2017-05,meta,1
2017-05,orthography,9
2017-05,sense,8
2017-05,unknown,1
2017-06,citation,1
2017-06,grammar,1
2017-06,headword,6
2017-06,markup,13
2017-06,meta,2
2017-06,orthography,12
2017-06,sense,7
2017-07,headword,1
2017-07,markup,2
2017-07,orthography,6
2017-07,sense,3
2017-07,unknown,1
2017-08,grammar,1
2017-08,headword,1
2017-08,markup,4
2017-08,orthography,16
2017-08,sense,4
2017-09,headword,39
2017-09,markup,1
2017-09,orthography,118
2017-09,sense,2
2017-10,headword,16
2017-10,orthography,14
2017-10,sense,10
2017-10,unknown,1
2017-11,encoding,1
2017-11,grammar,1
2017-11,markup,1
2017-11,orthography,12
2017-11,sense,8
2017-11,unknown,1
2017-12,headword,7
2017-12,markup,2
2017-12,orthography,15
2017-12,sense,6
2018-01,citation,6
2018-01,grammar,1
2018-01,headword,2
2018-01,markup,1
2018-01,meta,1
2018-01,orthography,23
2018-01,sense,8
2018-02,headword,2
2018-02,markup,5
2018-02,orthography,10
2018-02,sense,7
2018-02,unknown,2
2018-03,citation,1
2018-03,headword,5
2018-03,orthography,13
2018-03,sense,10
2018-03,unknown,1
2018-04,headword,3
2018-04,meta,2
2018-04,orthography,5
2018-04,sense,10
2018-04,unknown,1
2018-05,grammar,1
2018-05,headword,5
2018-05,meta,1
2018-05,orthography,8
2018-05,sense,6
2018-06,headword,7
2018-06,orthography,1
2018-06,sense,5
2018-07,markup,1
2018-07,meta,1
2018-07,orthography,3
2018-08,headword,3
2018-08,markup,1
2018-08,orthography,4
2018-08,sense,1
2018-09,headword,2
2018-09,orthography,1
2018-09,sense,3
2018-10,headword,6
2018-10,markup,5
2018-10,orthography,16
2018-10,sense,10
2018-10,unknown,1
2018-11,headword,2
2018-11,meta,1
2018-11,orthography,9
2018-11,sense,9
2018-11,unknown,1
2018-12,headword,4
2018-12,markup,5
2018-12,orthography,11
2018-12,sense,7
2018-12,unknown,1
2019-01,grammar,1
2019-01,headword,4
2019-01,markup,9
2019-01,orthography,9
2019-01,sense,9
2019-01,unknown,1
2019-02,headword,2
2019-02,markup,3
2019-02,meta,1
2019-02,orthography,16
2019-02,sense,8
2019-02,unknown,1
2019-03,headword,8
2019-03,meta,1
2019-03,orthography,5
2019-03,sense,4
2019-04,headword,6
2019-04,meta,1
2019-04,orthography,9
2019-04,sense,1
2019-05,headword,4
2019-05,orthography,4
2019-05,sense,1
2019-05,unknown,1
2019-06,headword,2
2019-06,orthography,7
2019-06,sense,3
2019-06,unknown,2
2019-07,headword,3
2019-07,orthography,4
2019-07,sense,4
2019-11,sense,1
2019-12,headword,4
2019-12,markup,5
2019-12,meta,1
2019-12,orthography,4
2019-12,sense,6
2020-01,markup,2
2020-01,sense,12
2020-02,citation,2
2020-02,headword,18
2020-02,markup,8
2020-02,orthography,61
2020-02,sense,56
2020-03,citation,1
2020-03,headword,5
2020-03,markup,16
2020-03,orthography,33
2020-03,sense,27
2020-04,sense,7
2020-05,citation,1
2020-05,headword,1
2020-05,markup,1
2020-05,orthography,2
2020-05,sense,22
2020-06,markup,3
2020-06,orthography,1
2020-06,sense,17
2020-07,markup,1
2020-08,grammar,1
2020-08,headword,1
2020-08,markup,3
2020-08,meta,49
2020-08,orthography,25
2020-08,sense,88
2020-09,orthography,24
2020-09,sense,224
2020-10,citation,2
2020-10,markup,2
2020-10,orthography,20
2020-10,sense,203
2020-11,citation,2
2020-11,headword,6
2020-11,markup,2
2020-11,orthography,37
2020-11,sense,410
2020-12,headword,15
2020-12,markup,13
2020-12,orthography,225
2020-12,sense,600
2021-01,headword,4
2021-01,markup,52
2021-01,orthography,70
2021-01,sense,432
2021-02,markup,38
2021-02,orthography,57
2021-02,sense,186
2021-03,headword,3
2021-03,orthography,11
2021-03,sense,314
2021-04,markup,56
2021-04,orthography,4
2021-04,sense,454
2021-05,markup,114
2021-05,sense,600
2021-06,citation,2
2021-06,headword,4
2021-06,markup,2
2021-06,meta,3
2021-06,orthography,13
2021-06,sense,98
2021-07,citation,4
2021-07,headword,22
2021-07,markup,10
2021-07,orthography,23
2021-07,sense,192
2021-08,citation,12
2021-08,headword,4
2021-08,markup,5
2021-08,orthography,79
2021-08,sense,731
2021-09,citation,2
2021-09,headword,21
2021-09,markup,161
2021-09,meta,2
2021-09,orthography,67
2021-09,sense,438
2021-10,citation,57
2021-10,headword,1
2021-10,markup,71
2021-10,meta,128
2021-10,orthography,20
2021-10,sense,155
2021-12,citation,1
2021-12,headword,3
2021-12,markup,146
2021-12,meta,1
2021-12,orthography,81
2021-12,sense,100
2022-01,citation,244
2022-01,markup,73
2022-01,orthography,1
2022-01,sense,6
2022-02,citation,26
2022-02,markup,41
2022-02,orthography,143
2022-02,sense,20
2022-03,meta,72
2022-03,orthography,132
2022-03,sense,9
2022-04,headword,9
2022-04,markup,14
2022-04,meta,2
2022-04,orthography,49
2022-04,sense,239
2022-05,headword,1
2022-05,markup,224
2022-05,meta,3
2022-05,orthography,48
2022-05,sense,323
2022-06,citation,28
2022-06,markup,105
2022-06,orthography,18
2022-06,sense,1
2022-07,citation,39
2022-07,headword,4
2022-07,markup,19
2022-07,meta,1
2022-07,sense,150
2022-08,citation,26
2022-08,markup,8
2022-08,sense,233
2022-09,headword,6
2022-09,markup,21
2022-09,orthography,23
2022-09,sense,104
2022-10,headword,2
2022-10,meta,119
2022-10,orthography,1
2022-10,sense,2
2022-12,headword,10
2022-12,markup,11
2022-12,meta,1
2022-12,orthography,16
2022-12,sense,82
2023-01,headword,1
2023-01,markup,62
2023-01,orthography,8
2023-01,sense,226
2023-02,citation,4
2023-02,markup,104
2023-02,orthography,336
2023-02,sense,209
2023-03,citation,1
2023-03,grammar,1
2023-03,headword,12
2023-03,markup,102
2023-03,meta,2
2023-03,orthography,54
2023-03,sense,167
2023-04,citation,3
2023-04,markup,35
2023-04,orthography,5
2023-04,sense,84
2023-06,citation,1
2023-06,headword,6
2023-06,markup,7
2023-06,meta,8
2023-06,orthography,100
2023-06,sense,164
2023-07,headword,2
2023-07,markup,3
2023-07,orthography,3
2023-07,sense,135
2023-08,citation,2
2023-08,markup,137
2023-08,orthography,17
2023-08,sense,4
2023-09,citation,1
2023-09,headword,8
2023-09,markup,5
2023-09,orthography,12
2023-09,sense,82
2023-10,orthography,39
2023-10,sense,196
2023-11,markup,1
2023-11,sense,177
2023-12,citation,1
2023-12,grammar,2
2023-12,headword,38
2023-12,markup,13
2023-12,orthography,104
2023-12,sense,282
2024-01,citation,14
2024-01,grammar,15
2024-01,headword,15
2024-01,markup,55
2024-01,meta,2
2024-01,orthography,116
2024-01,sense,289
2024-02,headword,2
2024-02,markup,23
2024-02,orthography,40
2024-02,sense,129
2024-03,headword,1
2024-03,markup,23
2024-03,orthography,2
2024-03,sense,27
2024-04,markup,1
2024-04,sense,67
2024-05,headword,1
2024-05,markup,1
2024-05,meta,6
2024-05,orthography,7
2024-05,sense,10
2024-06,citation,12
2024-06,grammar,153
2024-06,headword,82
2024-06,markup,344
2024-06,meta,11
2024-06,orthography,77
2024-06,sense,1040
2024-07,citation,1
2024-07,headword,11
2024-07,markup,165
2024-07,meta,11
2024-07,sense,27
2024-08,citation,2
2024-08,headword,15
2024-08,markup,42
2024-08,meta,28
2024-08,orthography,2
2024-08,sense,31
2024-09,citation,3
2024-09,headword,2
2024-09,markup,138
2024-09,orthography,9
2024-09,sense,88
2024-10,grammar,1
2024-10,headword,16
2024-10,markup,179
2024-10,meta,44
2024-10,orthography,285
2024-10,sense,805
2024-11,citation,1
2024-11,grammar,1
2024-11,headword,21
2024-11,markup,135
2024-11,meta,59
2024-11,orthography,1
2024-11,sense,316
2024-12,citation,101
2024-12,headword,1
2024-12,markup,42
2024-12,sense,6
2025-01,citation,2
2025-01,orthography,2
2025-02,citation,44
2025-02,grammar,1
2025-02,headword,4
2025-02,markup,20
2025-02,meta,71
2025-02,orthography,3
2025-02,sense,23
2025-03,citation,114
2025-03,markup,150
2025-03,sense,24
2025-04,markup,2
2025-05,citation,39
2025-05,headword,4
2025-05,markup,269
2025-05,sense,39
2025-06,citation,348
2025-06,headword,2
2025-06,markup,50
2025-06,sense,18
2025-07,citation,420
2025-07,headword,2
2025-07,markup,146
2025-07,meta,2
2025-07,orthography,144
2025-07,sense,55
2025-08,citation,458
2025-08,headword,132
2025-08,markup,50
2025-08,meta,5
2025-08,orthography,24
2025-08,sense,49
2025-09,citation,706
2025-09,markup,27
2025-09,sense,1
2025-10,citation,236
2025-10,markup,52
2025-10,orthography,1
2025-10,sense,3
2025-11,citation,177
2025-11,grammar,6
2025-11,headword,27
2025-11,markup,96
2025-11,meta,12
2025-11,orthography,8
2025-11,sense,332
2025-12,grammar,5
2025-12,headword,19
2025-12,markup,15
2025-12,meta,25
2025-12,orthography,129
2025-12,sense,119
2026-01,citation,46
2026-01,headword,9
2026-01,markup,52
2026-01,meta,15
2026-01,orthography,47
2026-01,sense,62
2026-02,headword,29
2026-02,markup,20
2026-02,orthography,131
2026-02,sense,35
2026-03,headword,13
2026-03,markup,16
2026-03,orthography,64
2026-03,sense,56
2026-04,citation,38
2026-04,grammar,17
2026-04,headword,235
2026-04,markup,82
2026-04,meta,19
2026-04,orthography,921
2026-04,sense,436
2026-05,citation,10
2026-05,grammar,48
2026-05,headword,148
2026-05,markup,54
2026-05,meta,89
2026-05,orthography,322
2026-05,sense,633
