control,dict,cv,kbar,n_true,gamma_analytic,gamma_emp,median,p25,p75,rel_bias,bias_predicted,coverage,envelope_recovery,n_reps,passes,family,cv_realised,gamma_identity,implied_n1,implied_n2,observed_n1,observed_n2,gamma_sequential,gamma_heterogeneity,gamma_naive_product,product_error
A independent-source recovery,pw,,,67852,1.0,1.0074889641687275,67067.62304167898,64367.692660550456,70695.08791208791,-0.011560115520854564,,0.955,,400,1,,,,,,,,,,,
A independent-source recovery,mw,,,60997,1.0,1.003412303042217,60390.36731782265,57456.55633802817,63821.11023622047,-0.009945287180965434,,0.935,,400,1,,,,,,,,,,,
A independent-source recovery,cae,,,40069,1.0,0.9891096322905096,38144.26470588235,33028.21052631579,44553.4,-0.048035521079079824,,0.9075,,400,1,,,,,,,,,,,
A independent-source recovery,bur,,,17247,1.0,0.9995688771945206,16915.992424242424,15394.01923076923,18485.255319148935,-0.01919218274236545,,0.915,,400,1,,,,,,,,,,,
B heterogeneous detectability,pw,0.0,,67852,1.0,1.0074889641687275,67067.62304167898,64367.692660550456,70695.08791208791,-0.011560115520854564,-0.0,0.955,-0.005046932211938304,400,1,two-point,0.0,1.0,,,,,,,,
B heterogeneous detectability,pw,0.25,,67852,1.0625000000000002,1.0664945100511045,63374.07042253521,60952.46046511628,66228.33333333333,-0.06599554290904897,-0.0588235294117649,0.77,-0.0032702039873897526,400,1,two-point,0.25,1.0625,,,,,,,,
B heterogeneous detectability,pw,0.25,,67852,1.0624999999982334,1.0664945100511045,63374.07042253521,60952.46046511628,66228.33333333333,-0.06599554290904897,-0.05882352941019984,0.77,-0.0032702039890470935,400,1,gamma-clipped,0.2499999999964669,1.0624999999982334,,,,,,,,
B heterogeneous detectability,pw,0.5,,67852,1.2499999999999998,1.2411982794472087,54486.65912750695,52621.589641434264,56484.32244897959,-0.19697784696829934,-0.19999999999999984,0.0275,-0.003032827342005051,400,1,two-point,0.5,1.25,,,,,,,,
B heterogeneous detectability,pw,0.5,,67852,1.2491534680297574,1.2472121530318327,54221.253764168505,52435.97692307692,56201.362068965514,-0.20088938035476467,-0.19945785238281227,0.035,-0.0037080089908776426,400,1,gamma-clipped,0.49915275019752964,1.2491534680297574,,,,,,,,
B heterogeneous detectability,pw,0.75,,67852,1.5624999999999998,1.553225071113261,43575.37626262626,42161.27575757576,44981.7119205298,-0.35778788742223866,-0.35999999999999993,0.0,-0.0038394470107890877,400,1,two-point,0.75,1.5625,,,,,,,,
