repo,archived,default_branch,license_class,license,has_description,has_readme,has_citation,has_issue_template,has_pr_template,workflow_count,has_workflows,has_dependabot,has_codeql,release_count,latest_release,metadata_score,metadata_flags,fetched_at,fetch_warning
AP,false,main,recognised,CC-BY-SA-4.0,yes,yes,yes,yes,yes,4,yes,yes,yes,0,,10,no-releases,2026-08-05T08:07:43+00:00,
AP90,false,main,recognised,GPL-3.0,yes,yes,yes,yes,yes,4,yes,yes,yes,0,,10,no-releases,2026-08-05T08:07:43+00:00,
GRA,false,main,recognised,CC-BY-SA-4.0,yes,yes,yes,yes,yes,4,yes,yes,yes,unknown,unknown,10,releases-unknown,2026-08-05T08:07:43+00:00,"releases: Get ""https://api.github.com/repos/sanskrit-lexicon/GRA/releases?per_page=100&page=1"": unexpected EOF"
PWK,false,main,recognised,CC-BY-SA-4.0,yes,yes,yes,yes,yes,4,yes,yes,yes,unknown,unknown,10,releases-unknown,2026-08-05T08:07:43+00:00,"releases: Get ""https://api.github.com/repos/sanskrit-lexicon/PWK/releases?per_page=100&page=1"": net/http: TLS handshake timeout"
csl-pywork,false,main,recognised,GPL-3.0,yes,yes,yes,yes,yes,5,yes,yes,yes,3,v0.2.2,10,,2026-08-05T08:07:43+00:00,
ApteES,false,main,recognised,CC-BY-SA-4.0,yes,yes,yes,yes,yes,2,yes,yes,no,unknown,unknown,9,missing-codeql|releases-unknown,2026-08-05T08:07:43+00:00,"releases: Get ""https://api.github.com/repos/sanskrit-lexicon/ApteES/releases?per_page=100&page=1"": net/http: TLS handshake timeout"
BEN,false,main,recognised,CC-BY-SA-4.0,yes,yes,yes,yes,yes,1,yes,yes,no,0,,9,missing-codeql|no-releases,2026-08-05T08:07:43+00:00,
BHS,false,main,recognised,CC-BY-SA-4.0,yes,yes,yes,yes,yes,1,yes,yes,no,0,,9,missing-codeql|no-releases,2026-08-05T08:07:43+00:00,
BOP,false,main,recognised,CC-BY-SA-4.0,yes,yes,yes,yes,yes,2,yes,yes,no,0,,9,missing-codeql|no-releases,2026-08-05T08:07:43+00:00,
BOR,false,main,recognised,CC-BY-SA-4.0,yes,yes,yes,yes,yes,1,yes,yes,no,0,,9,missing-codeql|no-releases,2026-08-05T08:07:43+00:00,
BUR,false,main,recognised,CC-BY-SA-4.0,yes,yes,yes,yes,yes,1,yes,yes,no,0,,9,missing-codeql|no-releases,2026-08-05T08:07:43+00:00,
CAE,false,main,recognised,CC-BY-SA-4.0,yes,yes,yes,yes,yes,1,yes,yes,no,0,,9,missing-codeql|no-releases,2026-08-05T08:07:43+00:00,
