repo,description,primary_language,size_kb,created_at,updated_at,pushed_at,default_branch,stars,forks,open_issues,archived,license,all_languages
ACC,ACC specific issues,Python,2170,2017-05-28T18:26:15Z,2026-07-31T20:26:50Z,2026-08-13T14:59:03Z,main,0,0,9,false,CC-BY-SA-4.0,"Python,HTML"
AMAR,Convert Amarakosha to CDSD format,Python,456,2024-01-30T03:54:09Z,2026-08-03T05:17:55Z,2026-08-03T05:17:25Z,main,0,0,2,false,GPL-2.0,"Python,HTML,Shell"
AP,"Collaborative tools for parsing, validating, and improving the Apte Sanskrit-English Dictionary (1957)",Python,37745,2025-07-06T20:04:16Z,2026-07-31T12:39:54Z,2026-07-31T12:37:34Z,main,0,0,11,false,CC-BY-SA-4.0,"Python,PHP,Shell,HTML"
AP90,Research work on Apte Sanskrit-English Dictionary of 1890,Python,23508,2020-03-14T19:00:32Z,2026-07-31T13:09:12Z,2026-07-31T13:07:23Z,main,0,0,15,false,GPL-3.0,"Python,PHP,HTML,Shell"
ApteES,Apte English-Sanskrit Dictionary,Python,13693,2014-07-15T18:59:03Z,2026-07-31T13:12:09Z,2026-07-31T13:07:18Z,main,5,2,2,false,CC-BY-SA-4.0,"Python,HTML,Shell"
ArabicInSanskrit,Arabic words occuring in Sanskrit Dictionaries,,18,2015-01-18T20:43:43Z,2026-07-31T20:28:41Z,2026-07-31T20:28:11Z,main,0,2,0,false,CC-BY-SA-4.0,
BEN,Research related to Benfey Sanskrit-English dictionary,Python,11458,2020-04-30T21:22:16Z,2026-07-31T20:25:24Z,2026-07-31T20:25:20Z,main,0,0,5,false,CC-BY-SA-4.0,"Python,HTML,Shell"
BHS,BHS dictionary codes,Python,6996,2016-01-02T03:42:33Z,2026-07-31T12:49:52Z,2026-07-31T12:49:48Z,main,0,0,4,false,CC-BY-SA-4.0,"Python,HTML,Shell"
BOP,Work on Bopp Glossarium Sanscritum,Python,10210,2022-05-02T16:46:21Z,2026-08-03T05:17:58Z,2026-08-03T05:17:54Z,main,0,0,1,false,CC-BY-SA-4.0,"Python,HTML,Shell"
BOR,Development of BOR dictionary,HTML,13519,2021-09-14T04:46:13Z,2026-07-31T12:51:39Z,2026-07-31T12:49:44Z,main,0,0,3,false,CC-BY-SA-4.0,"HTML,Python,Shell"
BUR,Research related to Burnouf dictionary,Python,10201,2020-04-09T17:26:54Z,2026-07-31T12:44:35Z,2026-07-31T12:44:32Z,main,0,0,1,false,CC-BY-SA-4.0,"Python,Rich Text Format,HTML,Shell"
CAE,Cappeller Sanskrit-English Dictionary research work,Python,8604,2020-04-12T02:54:50Z,2026-07-31T12:45:35Z,2026-07-31T12:44:36Z,main,0,0,3,false,CC-BY-SA-4.0,"Python,HTML,Shell"
CCS,Cappeller Sanskrit Wörterbuch Research,Python,4135,2020-04-15T01:40:11Z,2026-07-13T19:38:05Z,2026-07-29T21:05:40Z,main,0,0,2,false,CC-BY-SA-4.0,"Python,HTML,Shell"
COLOGNE,Development of http://www.sanskrit-lexicon.uni-koeln.de/,HTML,8189,2014-01-14T14:14:31Z,2026-07-23T09:40:36Z,2026-07-29T21:05:43Z,main,19,4,178,false,GPL-3.0,"HTML,Python,Shell,XSLT,JavaScript"
CORRECTIONS,Correction history for Cologne Sanskrit Lexicon,HTML,184700,2014-09-30T01:17:51Z,2026-08-12T08:06:12Z,2026-08-12T08:03:52Z,main,10,5,83,false,CC-BY-SA-4.0,"HTML,Python,CSS,PHP,Shell,Hack"
DCS,Development of http://kjc-fs-cluster.kjc.uni-heidelberg.de/dcs/,,471,2014-01-17T07:47:11Z,2026-07-31T12:34:19Z,2026-07-31T12:32:26Z,main,0,0,4,false,CC-BY-SA-4.0,
FRI,"Фриш, Олдржих (1903-1955). Санскритская хрестоматия [Текст] : Sanskrit reader = Sanskrtská čítanka / Олдржих Фриш,. - Москва : АБВ. T. 2. - 2015.",Python,3595,2024-01-26T12:33:11Z,2026-07-31T12:33:38Z,2026-07-31T12:32:22Z,main,0,0,3,false,CC-BY-SA-4.0,"Python,HTML"
GRA,Grassman Wörterbuch zum Rig Veda,Python,20259,2014-09-29T16:24:14Z,2026-07-31T12:50:45Z,2026-07-31T12:50:35Z,main,3,0,10,false,CC-BY-SA-4.0,"Python,PHP,JavaScript,HTML,CSS,Hack,Shell"
GreekInSanskrit,Provide missing Greek text for the Cologne digitizations of Sanskrit dictionaries.,,276,2015-04-15T01:46:39Z,2026-07-31T20:27:35Z,2026-07-31T20:27:31Z,main,0,1,1,false,CC-BY-SA-4.0,
INM,Index to names in the Mahabharata ,Python,5526,2021-12-03T23:44:57Z,2026-07-31T12:48:34Z,2026-07-31T12:47:08Z,main,0,0,3,false,CC-BY-SA-4.0,"Python,HTML"
KNA,Knauer Sanskrit-Russian Vocabulary,Python,47,2026-02-21T14:10:52Z,2026-08-03T05:18:12Z,2026-08-03T05:18:08Z,main,0,0,1,false,CC-BY-SA-4.0,"Python,HTML"
KOW,Kossowich Sanskrit-Russian Dictionary,HTML,41,2026-02-21T14:29:22Z,2026-07-31T12:50:27Z,2026-07-31T12:50:23Z,main,0,0,1,false,CC-BY-SA-4.0,HTML
KRM,Research on Cologne digitization of Kṛdantarūpamālā,Python,9349,2020-03-31T18:37:42Z,2026-07-31T12:46:59Z,2026-07-31T12:46:23Z,main,1,0,3,false,CC-BY-SA-4.0,"Python,HTML,Shell"
LRV,Convert the data of L R Vaidya Sanskrit-English dictionary to CDSL format,Python,63479,2022-09-20T10:53:08Z,2026-07-31T12:47:27Z,2026-07-31T12:46:08Z,main,0,0,3,false,CC-BY-SA-4.0,"Python,HTML,Shell"
MCI,"Mahabharata Cultural Index, Volumes One and Two",Python,5109,2014-09-26T07:42:37Z,2026-07-31T12:47:22Z,2026-07-31T12:46:03Z,main,0,0,1,false,CC-BY-SA-4.0,"Python,HTML"
MD,Research re Macdonell Sanskrit-English Dictionary,Python,11593,2020-04-17T21:09:31Z,2026-07-31T12:47:02Z,2026-07-31T12:45:59Z,main,0,0,6,false,CC-BY-SA-4.0,"Python,HTML,Shell"
MW72,Discussion for the 1872 edition of Monier-Williams Sanskrit-English Dictionary,Python,30067,2014-08-24T21:07:17Z,2026-07-31T12:46:48Z,2026-08-02T13:11:13Z,main,0,0,1,false,CC-BY-SA-4.0,"Python,HTML,Shell"
MWS,"Monier Monier-Williams, Sir; A Sanskrit-English dictionary. Oxford, 1899",HTML,261235,2014-01-16T19:34:16Z,2026-08-16T20:09:28Z,2026-08-16T20:09:11Z,master,11,5,37,false,CC-BY-SA-4.0,"HTML,Python,Shell,JavaScript,PHP,Java,CSS"
MWinflect,Generate declensions and conjugations based upon words in MW1899 dictionary.,Python,27333,2018-10-16T20:28:07Z,2026-07-31T12:31:03Z,2026-07-31T12:30:56Z,main,1,1,48,false,CC-BY-SA-4.0,"Python,PHP,HTML,Shell,JavaScript,CSS"
PUI,Purana Index 1951,HTML,1848,2026-04-05T03:27:56Z,2026-07-31T12:46:04Z,2026-07-31T12:45:50Z,main,0,0,2,false,CC-BY-SA-4.0,"HTML,Python"
PWG,"Boehtlingk und Roth  Sanskrit Wörterbuch, 7 Bände Petersburg 1855-1875",Python,118986,2014-01-14T14:01:39Z,2026-08-16T20:08:59Z,2026-08-16T20:08:35Z,main,0,0,30,false,CC-BY-SA-4.0,"Python,JavaScript,Shell,HTML"
PWK,"Sanskrit-Wörterbuch in kürzerer Fassung, 7 Bände Petersburg 1879-1889",HTML,86727,2014-01-14T14:12:31Z,2026-07-31T12:46:03Z,2026-07-31T12:45:41Z,main,3,1,38,false,CC-BY-SA-4.0,"HTML,Python,JavaScript,Shell,PHP"
SCH,Issues related to Schmidt Sanskrit Dictionary,Python,5494,2014-01-15T18:51:49Z,2026-07-31T20:26:38Z,2026-08-13T15:12:06Z,main,0,0,4,false,CC-BY-SA-4.0,"Python,HTML,Shell"
SHS,Work on cdsl dictionary Shabda-Sagara Sanskrit-English Dictionary,Python,6237,2025-12-22T01:57:08Z,2026-07-31T20:26:25Z,2026-07-31T20:26:22Z,main,0,0,3,false,CC-BY-SA-4.0,"Python,HTML,Shell"
SKD,Discussion of corrections and other issues pertaining to Sabdakalpadruma dictionary at Sanskrit-Lexicon,HTML,13485,2014-07-19T18:58:18Z,2026-07-31T20:26:12Z,2026-07-31T20:26:08Z,main,0,0,12,false,CC-BY-SA-4.0,"HTML,Python,Shell"
STC,Research re Stchoupak Dictionnaire Sanscrit-Français,Python,2736,2020-04-19T20:55:39Z,2026-07-31T12:30:26Z,2026-07-31T12:30:04Z,main,0,0,2,false,CC-BY-SA-4.0,"Python,HTML,Shell"
VCP,Vachaspatyam,HTML,183851,2014-01-22T04:12:20Z,2026-07-31T20:25:54Z,2026-07-31T20:25:47Z,main,2,0,19,false,CC-BY-SA-4.0,"HTML,Python,Shell"
VEI,VEI dictionary codes,Python,4230,2016-01-02T10:19:41Z,2026-07-31T12:46:34Z,2026-07-31T12:45:33Z,main,0,0,1,false,CC-BY-SA-4.0,"Python,HTML,Shell"
WIL,Wilson Sanskrit-English Dictionary. Based on Cologne digitization. Work pertaining to corrections,HTML,17369,2014-12-28T21:05:00Z,2026-08-14T09:37:55Z,2026-08-06T05:00:13Z,main,3,2,13,false,CC-BY-SA-4.0,"HTML,Python,PHP,Shell,Perl,Batchfile"
Wil-YAT,Comparison of Wilson and Yates Headwords,Python,7586,2015-03-10T19:11:34Z,2026-07-31T12:48:06Z,2026-07-31T12:45:24Z,main,0,0,0,false,CC-BY-SA-4.0,"Python,Batchfile"
alternateheadwords,Prepare list of alternate headwords for all Cologne dictionaries,Python,24238,2016-10-03T04:13:55Z,2026-07-31T12:39:16Z,2026-07-31T12:37:43Z,main,1,0,18,false,CC-BY-SA-4.0,"Python,Shell"
avlinks,repository for hosting links to verses of Atharva Veda,HTML,4842,2021-04-08T19:42:19Z,2026-07-31T12:37:11Z,2026-07-31T12:37:04Z,main,2,0,1,false,GPL-3.0,"HTML,Python,CSS,Shell"
cologne-hugo,Host static sites generated by hugo. Currently treated as experimental.,,25,2021-01-20T04:59:39Z,2026-07-31T12:38:26Z,2026-07-31T12:35:57Z,main,0,0,0,false,GPL-3.0,
cologne-stardict,Scripts to convert Cologne XMLs into babylon format for merging into Stardict format.,Python,2778185,2017-04-16T07:56:59Z,2026-08-04T13:32:52Z,2026-08-04T13:30:22Z,main,9,3,3,false,MIT,"Python,Shell"
csl-apidev,CDSL PHP web-backend and API services (incl. Salt/Kosh API),PHP,227829,2019-03-16T20:29:46Z,2026-08-03T05:17:56Z,2026-08-03T05:17:30Z,main,2,0,16,false,GPL-3.0,"PHP,CSS,JavaScript,Python,HTML,Shell"
csl-app,An Android / iOS / macOS / Linux / Windows app for Sanskrit-Lexicon,Dart,16314,2026-03-18T17:23:15Z,2026-08-03T05:17:15Z,2026-08-03T05:17:09Z,main,1,0,1,false,GPL-3.0,"Dart,JavaScript,Python,C++,CMake,HTML,Ruby,Swift,C,Kotlin,Objective-C"
csl-corrections,Replacement for sanskrit-lexicon/CORRECTIONS. User corrections to sanskrit-lexicon/csl-orig,Python,21127,2019-12-16T20:34:55Z,2026-08-17T00:48:17Z,2026-08-17T00:48:13Z,main,0,0,31,false,GPL-3.0,"Python,CSS,PHP,Shell,HTML,Hack"
csl-devanagari,Convert SLP1 data from csl-orig into Devanagari for easy proofreading.,Python,407935,2021-09-02T18:18:17Z,2026-08-14T18:21:46Z,2026-08-16T16:01:17Z,main,0,1,14,false,CC-BY-SA-4.0,"Python,Shell"
csl-doc,Development version of cologne sanskrit lexicon 'documentation' ,HTML,186100,2018-10-24T21:56:19Z,2026-08-03T05:18:07Z,2026-08-03T05:18:00Z,main,1,0,2,false,GPL-3.0,"HTML,JavaScript,CSS,Python,Batchfile,Makefile"
csl-homepage,Code that generates the homepage of http://www.sanskrit-lexicon.uni-koeln.de/,Python,682,2019-03-21T01:18:14Z,2026-07-31T12:35:42Z,2026-07-31T12:34:31Z,main,0,0,1,false,CC-BY-SA-4.0,"Python,PHP,HTML,CSS,Shell"
csl-inflect,,Python,5451,2019-11-28T01:01:33Z,2026-07-27T18:00:29Z,2026-07-31T11:06:17Z,main,3,2,12,false,LGPL-3.0,"Python,PHP,HTML,Shell,JavaScript,CSS"
csl-json,Implementation of Json format of Cologne dictionary data.,Python,363241,2021-08-16T03:44:17Z,2026-07-31T20:27:16Z,2026-07-31T20:27:11Z,main,0,2,0,false,CC-BY-SA-4.0,"Python,Shell"
csl-kale,Scanned edition of *Kale Higher Sanskrit Grammar*,JavaScript,489327,2019-11-09T00:43:45Z,2026-07-31T12:42:20Z,2026-07-31T12:41:11Z,main,2,0,1,false,GPL-3.0,"JavaScript,Python,PHP,CSS,Hack,HTML"
csl-ldev,lnum wise entry for data in csl-devanagari for Devanagari correction submission.,,365230,2021-10-05T03:09:17Z,2026-07-31T12:43:28Z,2026-07-31T12:41:03Z,main,1,9,7,false,CC-BY-SA-4.0,
csl-lnum,Dictionary data in separate file for each lnum.,,382241,2021-10-02T09:28:21Z,2026-08-02T21:23:49Z,2026-08-02T21:23:46Z,main,0,1,1,false,CC-BY-SA-4.0,
csl-lslink,Mapping from cdsl dictionary ls links to href of link targets,Python,53165,2026-03-31T01:43:06Z,2026-07-31T12:41:19Z,2026-07-31T12:41:06Z,main,0,0,2,false,CC-BY-SA-4.0,"Python,PHP,Shell"
csl-newsletter,Monthly newsletter for works ongoing at Cologne Digital Sanskrit Lexicon,Python,124,2021-09-15T03:55:48Z,2026-08-06T07:28:20Z,2026-08-06T07:27:30Z,main,2,0,2,false,GPL-3.0,Python
csl-observatory,"Cross-repo analytics, dashboards, and data aggregator for the Cologne Digital Sanskrit Dictionaries ecosystem",HTML,35037,2026-05-07T15:38:17Z,2026-08-16T20:08:12Z,2026-08-16T20:08:07Z,main,0,0,18,false,GPL-3.0,"HTML,Python,JavaScript,Shell,TeX,CSS"
csl-orig,Data for all dictionaries of Cologne. Now all corrections are made in this git-based workflow.,Python,900041,2019-07-23T06:30:32Z,2026-08-13T04:55:00Z,2026-08-16T14:25:20Z,main,22,10,39,false,CC-BY-SA-4.0,"Python,HTML,Shell"
csl-pywork,"CDSL dictionary-generation Python pipeline (generate_dict, XML validation)",Python,1517,2019-07-20T04:07:17Z,2026-08-16T20:09:50Z,2026-08-16T20:09:22Z,main,3,1,4,false,GPL-3.0,"Python,Shell,PHP"
csl-sqlite,Storage space for sqlites of Cologne Digital Sanskrit Dictionaries,,222301,2026-04-08T11:48:40Z,2026-07-31T12:34:16Z,2026-08-09T05:51:33Z,main,1,0,1,false,GPL-3.0,
csl-websanlexicon,CDSL web frontend (PHP + SQLite) for the Cologne Digital Sanskrit Lexicon,JavaScript,8893,2019-03-21T01:28:26Z,2026-08-16T20:08:43Z,2026-08-16T20:08:18Z,main,2,2,14,false,GPL-3.0,"JavaScript,PHP,HTML,CSS,Hack,Python,Shell"
csl-westergaard,Scanned image display for Westergaard roots,JavaScript,13769,2019-11-08T20:38:08Z,2026-07-31T12:35:51Z,2026-07-31T12:33:10Z,main,0,0,1,false,GPL-3.0,"JavaScript,CSS,PHP,Perl,HTML"
csl-whitroot,"scanned eidtion of *The roots, verb-forms, and primary derivatives of the Sanskrit Language* by William Dwight Whitney.",JavaScript,54745,2019-11-08T21:19:27Z,2026-07-31T12:33:35Z,2026-07-31T12:32:30Z,main,1,1,0,false,GPL-3.0,"JavaScript,CSS,PHP,HTML"
hwnorm1,Headword normalization for Cologne dictionaries,HTML,126428,2015-11-19T05:22:04Z,2026-08-09T05:48:57Z,2026-08-09T05:48:52Z,main,0,0,17,false,GPL-3.0,"HTML,Python,Shell,PHP"
hwnorm2,,Python,7251,2020-02-01T21:58:15Z,2026-08-09T05:50:40Z,2026-08-09T05:50:34Z,main,0,0,4,false,GPL-3.0,"Python,Shell,PHP"
literarysource,A repository to study literary sources in CDSL and find their scanned copies to link in the display program.,,250,2022-02-15T02:12:03Z,2026-07-31T12:33:28Z,2026-07-31T12:31:31Z,main,2,0,3,false,CC-BY-SA-4.0,
mw-dev,"Development version of MW dictionary, to collaborate with Andhrabharati",PHP,182576,2023-01-19T13:10:47Z,2026-07-31T12:32:08Z,2026-07-31T12:31:15Z,main,1,0,17,false,CC-BY-SA-4.0,"PHP,JavaScript,HTML,Python,CSS,Hack,Shell"
rvlinks,Github pages repository for hosting links to verses of Rg Veda,HTML,10657,2018-08-29T22:07:20Z,2026-07-31T12:32:37Z,2026-07-31T12:30:44Z,gh-pages,0,2,1,false,GPL-3.0,"HTML,Python,CSS,Shell"
sanskrit-fonts,Repository for hosting web fonts used with Sanskrit,,597,2018-09-05T03:39:54Z,2026-07-31T12:32:25Z,2026-07-31T12:30:34Z,gh-pages,1,1,0,false,CC-BY-SA-4.0,
sanskrit-lexicon.github.io,,HTML,5439,2015-11-24T11:53:23Z,2026-07-31T12:31:32Z,2026-07-31T12:30:39Z,main,1,0,0,false,CC-BY-SA-4.0,"HTML,Python,JavaScript,CSS"
santamlegacy,php version of Cologne-,,4,2022-12-08T17:17:29Z,2026-06-19T20:53:56Z,2026-06-14T04:52:32Z,main,0,0,0,true,,
temp_corrections_acc,Temporary repository for english word corrections on acc dictionary,,19065,2021-01-23T01:15:04Z,2026-06-19T20:50:47Z,2026-06-14T04:52:46Z,main,0,0,0,true,,
temp_corrections_ae,Temporary repository for Apte English-Sanskrit corrections,,15156,2021-01-10T19:01:49Z,2026-06-19T20:51:03Z,2026-06-14T04:51:28Z,main,0,0,0,true,,
temp_corrections_ap90,Working repository for analyzing a batch of corrections for ap90.,Python,24855,2021-01-13T21:29:25Z,2026-07-31T12:40:12Z,2026-07-31T12:39:51Z,main,0,0,1,false,,Python
temp_corrections_mw,Work on corrections to MW dictionary digitizations,,21768,2021-04-11T18:23:56Z,2026-07-31T12:40:49Z,2026-07-31T12:39:46Z,main,0,0,1,false,,
test_cologne_push,Temporary repository for the 'push from col.. server' problem,,6,2023-11-09T19:16:46Z,2026-06-19T20:53:14Z,2026-06-14T04:52:00Z,main,0,0,0,true,,
