year,issues,typed,one_type,multi_type,has_severity,has_milestone,conformant,pct_typed,pct_severity,pct_milestone,pct_conformant
2014,190,120,109,11,65,66,48,63.2,34.2,34.7,25.3
2015,269,114,109,5,93,95,54,42.4,34.6,35.3,20.1
2016,175,69,65,4,53,50,20,39.4,30.3,28.6,11.4
2017,268,134,126,8,78,79,45,50.0,29.1,29.5,16.8
2018,98,66,65,1,48,48,6,67.3,49.0,49.0,6.1
2019,258,225,219,6,183,173,124,87.2,70.9,67.1,48.1
2020,483,464,434,30,426,417,316,96.1,88.2,86.3,65.4
2021,647,617,592,25,593,540,395,95.4,91.7,83.5,61.1
2022,460,458,425,33,451,433,353,99.6,98.0,94.1,76.7
2023,541,539,523,16,531,509,457,99.6,98.2,94.1,84.5
2024,382,382,367,15,376,352,304,100.0,98.4,92.1,79.6
2025,1178,1176,1117,59,1174,1150,1082,99.8,99.7,97.6,91.9
2026,375,354,243,111,342,297,148,94.4,91.2,79.2,39.5
