repo,archived,default_branch,license_class,workflow_count,active_workflow_count,disabled_workflow_count,scheduled_workflow_count,artifact_refresh_workflow_count,deploy_workflow_count,ci_workflow_count,has_dependabot,has_codeql,release_count,latest_release,workflow_health_score,workflow_flags,workflow_names,fetched_at,fetch_warning
MWS,false,master,unrecognised,4,4,0,1,1,1,3,yes,yes,0,,7,no-releases,CI|CodeQL|Dependabot Updates|pages-build-deployment,2026-06-13T07:14:50+00:00,
csl-websanlexicon,false,master,unrecognised,2,2,0,1,1,0,2,yes,yes,0,,7,no-releases,CI|CodeQL,2026-06-13T07:14:50+00:00,
AP,false,main,unrecognised,3,3,0,1,0,0,2,yes,yes,0,,6,no-artifact-refresh-workflow|no-releases,CI|CodeQL|Dependabot Updates,2026-06-13T07:14:50+00:00,
AP90,false,master,recognised,3,3,0,1,0,0,2,yes,yes,0,,6,no-artifact-refresh-workflow|no-releases,CI|CodeQL|Dependabot Updates,2026-06-13T07:14:50+00:00,
COLOGNE,false,master,unrecognised,3,3,0,1,0,0,2,yes,yes,0,,6,no-artifact-refresh-workflow|no-releases,CI|CodeQL|Dependabot Updates,2026-06-13T07:14:50+00:00,
GRA,false,master,unrecognised,3,3,0,1,0,0,2,yes,yes,0,,6,no-artifact-refresh-workflow|no-releases,CI|CodeQL|Dependabot Updates,2026-06-13T07:14:50+00:00,
PWK,false,master,unrecognised,3,3,0,1,0,0,2,yes,yes,0,,6,no-artifact-refresh-workflow|no-releases,CI|CodeQL|Dependabot Updates,2026-06-13T07:14:50+00:00,
csl-corrections,false,master,recognised,3,3,0,1,2,1,2,yes,no,0,,6,missing-codeql|no-releases,Dependabot Updates|Fetch Daily Corrections from Cologne|pages-build-deployment,2026-06-13T07:14:50+00:00,
csl-observatory,false,main,recognised,6,6,0,2,5,4,5,yes,no,0,,6,missing-codeql|no-releases,Dependabot Updates|Deploy dashboard|Refresh data snapshot (legacy pipeline)|Refresh observatory|Tooling Roadmap audit|pages-build-deployment,2026-06-13T07:14:50+00:00,
csl-orig,false,master,unrecognised,5,5,0,1,3,1,4,yes,no,0,,6,missing-codeql|no-releases,Dependabot Updates|Generate Dictionary|Generate and Sync Stardict Files|Regenerate hwnorm1.sqlite|encoding-guard,2026-06-13T07:14:50+00:00,
csl-pywork,false,master,unrecognised,4,4,0,1,0,0,3,yes,yes,0,,6,no-artifact-refresh-workflow|no-releases,CI|CodeQL|Dependabot Updates|XML parse,2026-06-13T07:14:50+00:00,
PWG,false,master,unrecognised,3,3,0,0,1,1,2,yes,no,0,,5,no-scheduled-workflows|missing-codeql|no-releases,CI|Dependabot Updates|pages-build-deployment,2026-06-13T07:14:50+00:00,
csl-sqlite,false,main,recognised,1,1,0,0,1,1,1,no,no,14,2026-06-07-08-28-38,5,no-scheduled-workflows|missing-dependabot|missing-codeql,pages-build-deployment,2026-06-13T07:14:50+00:00,
